Name,City,Price,Rating,Stars,Reviews,Location,Cleanliness,staff,Comfort,Value for Money,Facilities,Wifi,Closest attraction dist,Closest transportation,Closest airport,payment methods,Number of languages,Allowing pets
The Darwin ,Atlanta,519,9.3,2,27,8.1,9.5,9.8,9.7,8.8,9.7,,1.7,1.4,14,5.0,1.0,True
Renaissance Concourse Atlanta Airport ,Atlanta,546,8.3,4,"1,247",9.0,8.8,8.8,8.9,7.8,8.5,,10,2.1,1.8,7.0,1.0,False
"Crowne Plaza Atlanta Midtown, an IHG ",Atlanta,649,6.8,4,946,8.0,7.5,8.1,7.6,6.8,7.2,7.3,1.1,150,14,9.0,3.0,True
Hyatt Regency Atlanta,Atlanta,927,8.2,4,"4,356",8.7,8.6,8.6,8.6,8.0,8.5,8.1,700,250,14,7.0,1.0,False
Atlanta Marriott Marquis,Atlanta,615,7.7,4,"7,075",8.5,8.2,8.3,8.2,7.8,8.1,,750,300,14,7.0,5.0,False
Nobu  Atlanta,Atlanta,"1,460",8.8,5,9,8.1,9.2,8.9,9.2,7.8,9.2,,7,900,6,5.0,1.0,True
"Country Inn & Suites by Radisson, Atlanta Airport North, GA",Atlanta,481,7.7,3,"1,844",8.3,8.1,8.5,8.1,7.9,8.0,8.4,12,1.9,2.5,5.0,1.0,False
Country Inn & Suites Atlanta Downtown,Atlanta,309,5.4,3,"1,852",7.1,5.9,7.1,6.0,6.0,5.7,7.0,2.7,1.7,11,4.0,1.0,False
Omni Atlanta  at CNN Center,Atlanta,986,7.9,4,"1,983",9.0,8.5,8.6,8.5,7.6,8.1,,650,450,14,8.0,1.0,True
"The Westin Peachtree Plaza, Atlanta",Atlanta,677,7.5,4,"2,491",8.6,8.1,8.3,8.2,7.4,7.9,5.0,650,10,14,7.0,1.0,True
Hyatt Centric Midtown Atlanta,Atlanta,718,8.4,3,360,9.1,8.9,9.0,8.8,8.1,8.7,8.6,1.4,350,13,7.0,3.0,True
"Holiday Inn Express & Suites - Atlanta Downtown, an IHG ",Atlanta,658,6.6,3,447,8.2,7.1,8.0,7.3,6.8,6.7,7.2,600,300,14,5.0,2.0,False
"Motel 6-Atlanta, GA - Downtown",Atlanta,343,6.6,2,493,8.1,7.2,7.6,7.2,7.0,6.9,7.7,"1,000",500,15,4.0,1.0,True
"The Starling Atlanta Midtown, Curio Collection by Hilton",Atlanta,523,8.3,4,"1,624",9.1,8.8,8.8,8.8,8.2,8.6,,2.8,600,13,10.0,1.0,True
"Holiday Inn Express & Suites Atlanta Airport NE - Hapeville, an IHG ",Atlanta,457,8.5,3,463,8.5,9.0,8.8,9.1,8.5,8.8,8.9,9,4.8,3.5,7.0,1.0,False
Loews Atlanta ,Atlanta,920,8.7,4,184,9.4,9.1,9.1,9.3,8.2,8.9,7.5,1.3,400,13,3.0,2.0,True
"Staybridge Suites Atlanta-Buckhead, an IHG ",Atlanta,457,8.1,3,158,8.9,8.4,8.4,8.5,8.2,8.1,8.0,5,1.3,8,4.0,1.0,True
The Westin Atlanta Airport,Atlanta,581,7.8,4,508,8.5,8.4,8.4,8.4,7.8,8.2,8.0,14,1.9,3,7.0,2.0,True
