Name,City,Price,Rating,Stars,Reviews,Location,Cleanliness,staff,Comfort,Value for Money,Facilities,Wifi,Closest attraction dist,Closest transportation,Closest airport,payment methods,Number of languages,Allowing pets
Found  Boston Common,Boston,993,7.8,2,"2,012",9.2,8.2,8.7,8.1,7.6,7.7,8.3,1.3,150,4.8,4.0,2,False
Encore Boston Harbor,Boston,"1,151",9.3,5,"2,804",8.8,9.7,9.4,9.7,8.8,9.6,8.9,2.7,500,6,6.0,1,False
The Godfrey  Boston,Boston,"1,439",8.9,4,"5,964",9.5,9.4,9.3,9.4,8.4,9.1,,550,150,4.3,5.0,1,True
Hyatt Centric Faneuil Hall Boston,Boston,"1,470",8.5,4,"1,143",9.5,9.0,9.2,9.0,8.1,8.5,8.8,800,100,3.8,4.0,2,True
Hampton Inn Boston Logan Airport,Boston,768,7.6,3,"4,141",7.7,8.3,8.1,8.3,7.6,7.9,8.3,6,1.2,4.2,6.0,2,False
"The Langham, Boston",Boston,"2,216",9.2,5,244,9.3,9.6,9.7,9.7,8.3,9.3,9.2,550,400,3.7,6.0,8,True
Seaport ® Boston,Boston,"1,083",8.9,4,"1,819",9.2,9.4,9.2,9.4,8.3,9.1,9.4,1.5,1.2,3,6.0,2,True
Omni Boston  at the Seaport,Boston,"1,353",8.6,4,"1,078",9.0,9.2,9.0,9.2,8.0,9.0,8.4,950,1.2,3.2,8.0,1,True
The Revolution ,Boston,"1,199",8.3,0,"1,861",9.1,8.7,9.2,8.7,8.0,8.5,8.6,900,300,5,5.0,1,True
DoubleTree by Hilton  Boston - Downtown,Boston,"1,272",7.8,3,566,8.6,8.3,8.6,8.3,7.4,8.0,7.5,700,100,4.7,7.0,2,False
"Staypineapple, A Delightful , South End",Boston,"1,154",8.3,4,610,9.0,8.9,9.0,8.9,7.9,8.3,8.2,800,250,5,6.0,2,True
YOTEL Boston,Boston,"1,101",7.9,4,"2,383",9.2,8.7,8.6,8.6,7.6,8.2,8.6,950,650,3.2,7.0,1,False
Hilton Boston Logan Airport,Boston,"1,218",8.2,4,"1,689",9.3,8.9,8.5,8.9,7.3,8.4,,2.7,"1,000",1.1,7.0,2,True
Onyx Boston Downtown,Boston,"1,470",7.8,4,952,9.0,8.4,8.6,8.4,7.6,7.9,8.9,700,150,4.1,4.0,1,True
The Boxer,Boston,"1,086",7.9,4,642,8.9,8.3,8.7,8.5,7.2,8.0,8.7,700,200,4.2,4.0,1,True
Boston Park Plaza,Boston,"1,422",8.1,4,"3,430",9.4,8.5,8.5,8.6,7.4,8.2,8.2,1.2,450,5,9.0,8,True
"Holiday Inn Express Boston, an IHG ",Boston,"1,020",8.0,3,"1,173",7.9,8.5,8.4,8.6,7.8,8.2,8.2,2.5,350,6,6.0,4,False
Hilton Boston Downtown/Faneuil Hall,Boston,"1,334",8.0,4,768,9.3,8.6,8.7,8.6,7.5,8.3,,600,300,3.5,6.0,8,True
The Whitney  Boston,Boston,"1,968",9.0,5,329,9.6,9.6,9.3,9.5,8.3,9.1,9.1,800,50,5,4.0,1,True
The Colonnade ,Boston,"1,851",8.5,4,"1,890",9.4,9.0,8.8,9.1,7.9,8.6,9.1,1.3,550,6,4.0,1,True
Hyatt Regency Boston,Boston,"1,481",8.3,4,"2,017",9.2,8.8,8.9,8.8,8.0,8.5,8.2,650,200,4.3,7.0,3,True
The Lenox,Boston,"2,250",9.1,4,703,9.8,9.4,9.6,9.5,8.6,9.1,9.5,950,400,6,5.0,9,False
"Club Quarters  Faneuil Hall, Boston",Boston,"1,201",8.2,4,"3,193",9.3,8.4,9.0,8.5,7.9,8.2,8.8,450,250,3.9,4.0,2,True
Wyndham Boston Beacon Hill,Boston,"1,834",7.5,4,"1,823",8.9,7.8,8.2,7.9,7.1,7.5,8.1,850,350,4.6,7.0,3,True
Hampton Inn Boston Seaport District,Boston,957,8.6,3,"1,187",8.2,9.3,8.9,9.2,8.1,9.0,8.6,1.5,1.7,3.1,8.0,1,True
Boston  Commonwealth,Boston,"1,645",8.6,5,"1,062",9.3,9.1,9.2,9.2,8.0,8.7,8.8,1.1,400,7,5.0,1,True
