Name,City,Price,Rating,Stars,Reviews,Location,Cleanliness,staff,Comfort,Value for Money,Facilities,Wifi,Closest attraction dist,Closest transportation,Closest airport,payment methods,Number of languages,Allowing pets
Warwick Allerton Chicago,Chicago,"1,199",7.2,4,"3,400",9.4,7.6,7.5,7.7,7.2,7.1,7.3,850,400,16,9.0,6.0,True
Eurostars Magnificent Mile,Chicago,"1,374",8.2,4,"2,717",9.1,8.7,8.8,8.8,8.2,8.2,8.2,750,250,16,4.0,2.0,False
Pendry Chicago,Chicago,"2,387",9.0,4,884,9.8,9.5,9.2,9.5,8.6,9.2,9.4,750,250,15,7.0,3.0,True
SpringHill Suites by Marriott Chicago Chinatown,Chicago,649,9.0,3,409,9.0,9.5,9.4,9.4,8.8,9.4,8.6,2.3,400,12,5.0,4.0,False
Acme  Company Chicago,Chicago,"1,645",8.2,4,"1,063",9.5,8.5,8.5,8.6,8.0,8.1,9.0,650,100,16,4.0,2.0,True
citizenM Chicago Downtown,Chicago,"1,817",8.9,4,414,9.7,9.2,9.1,9.3,8.8,9.1,9.5,700,250,15,6.0,1.0,False
Trump International  & Tower Chicago,Chicago,"2,048",9.0,5,883,9.7,9.3,9.1,9.4,8.4,9.1,8.6,750,300,16,6.0,9.0,True
The Talbott ,Chicago,890,8.2,4,285,9.5,8.7,9.0,8.8,8.2,8.2,8.0,1.1,300,16,4.0,2.0,True
The Palmer House Hilton,Chicago,"1,594",7.6,4,678,9.3,8.1,8.2,8.2,7.1,7.8,6.4,750,50,15,7.0,2.0,True
Hilton Chicago,Chicago,"1,714",8.1,4,423,9.2,8.5,8.7,8.7,7.5,8.4,8.6,900,350,14,7.0,3.0,True
"The Hoxton, Chicago",Chicago,"1,645",8.4,4,216,9.3,8.8,8.7,8.7,7.8,8.8,8.3,2.2,250,14,5.0,1.0,True
Chicago Marriott Downtown Magnificent Mile,Chicago,"1,769",8.0,4,563,9.3,8.5,8.4,8.6,7.6,8.3,6.3,850,300,16,7.0,4.0,False
"Crowne Plaza - Chicago West Loop, an IHG ",Chicago,"1,206",7.9,3,818,8.7,8.4,8.6,8.5,7.7,8.1,8.2,2,550,14,4.0,3.0,True
 Chicago West Loop,Chicago,"1,061",7.7,2,886,8.4,8.0,8.6,8.1,7.6,7.9,8.2,2.7,500,12,6.0,2.0,True
"Kimpton  Monaco Chicago, an IHG Hotel",Chicago,"1,817",8.9,4,251,9.6,9.3,9.4,9.4,8.2,8.9,,500,150,15,4.0,3.0,True
Marriott Marquis Chicago,Chicago,"2,058",8.7,4,200,9.1,9.2,8.9,9.2,7.9,9.0,7.2,1.5,400,13,7.0,5.0,False
W Chicago - Lakeshore,Chicago,"1,714",8.0,4,"1,251",9.2,8.5,8.6,8.5,7.6,8.1,,850,1.1,17,6.0,3.0,True
Homewood Suites by Hilton Chicago Downtown,Chicago,"1,450",8.1,3,"1,978",9.2,8.3,8.8,8.4,8.0,8.2,8.2,650,150,16,10.0,7.0,True
Hyatt Place Chicago/Downtown - The Loop,Chicago,"1,594",8.0,3,"5,363",8.8,8.5,8.5,8.5,8.0,8.3,8.5,1.1,100,15,9.0,2.0,True
Viceroy Chicago,Chicago,"2,387",9.0,5,"1,247",9.5,9.3,9.3,9.3,8.6,9.2,9.2,1.2,300,17,6.0,6.0,True
The Langham Chicago,Chicago,"3,624",9.3,5,387,9.7,9.6,9.6,9.7,8.7,9.6,9.6,750,300,15,6.0,5.0,True
Swissotel Chicago,Chicago,"1,574",8.2,4,675,9.1,8.8,8.5,8.9,7.9,8.5,,600,450,16,4.0,5.0,True
"Sable At Navy Pier Chicago, Curio Collection By Hilton",Chicago,"1,747",8.9,4,919,9.6,9.3,9.1,9.3,8.5,9.1,8.5,1.7,1.9,17,7.0,1.0,False
"Staypineapple, An Iconic , The Loop",Chicago,"1,827",8.7,4,989,9.7,9.2,9.1,9.1,8.4,8.7,9.2,800,100,15,6.0,1.0,True
Hyatt Centric The Loop Chicago,Chicago,"1,989",8.2,4,"1,068",9.2,8.6,8.8,8.7,8.0,8.3,8.6,750,150,15,5.0,1.0,True
Fairmont Chicago Millennium Park,Chicago,"1,714",7.9,4,114,9.2,8.4,8.5,8.5,7.5,8.2,,750,300,16,4.0,1.0,True
Kinzie ,Chicago,"1,714",8.3,4,752,9.3,9.0,8.9,9.0,8.2,8.6,,900,300,15,4.0,13.0,True
"Club Quarters  Wacker at Michigan, Chicago",Chicago,"1,250",8.1,4,"2,973",9.7,8.3,9.0,8.4,8.1,7.9,8.6,600,300,15,4.0,2.0,True
"The Blackstone, Autograph Collection",Chicago,"2,401",8.6,4,326,9.1,9.2,8.8,9.1,8.2,8.9,,"1,000",300,14,7.0,1.0,True
The Whitehall ,Chicago,"1,542",7.3,4,"1,366",9.3,7.8,8.3,7.9,7.5,7.0,8.3,950,350,16,5.0,1.0,True
Loews Chicago ,Chicago,"2,319",8.8,4,"1,220",9.4,9.3,9.1,9.3,8.5,9.1,8.1,750,700,16,6.0,3.0,True
 Saint Clair - Magnificent Mile,Chicago,"1,543",7.5,4,"3,055",9.2,8.0,8.0,8.0,7.8,7.5,7.9,700,450,16,4.0,1.0,True
City Suites ,Chicago,958,7.9,3,443,9.1,8.4,8.3,8.6,7.8,7.9,8.9,2.8,40,19,5.0,3.0,False
Ivy Boutique ,Chicago,"1,611",8.4,4,"1,701",9.2,8.9,8.6,8.9,8.5,8.6,8.0,700,550,16,5.0,2.0,False
Hyatt Regency Chicago,Chicago,"1,351",8.2,4,"1,595",9.4,8.4,8.7,8.5,7.7,8.4,7.8,600,450,16,7.0,19.0,False
"LondonHouse Chicago, Curio Collection by Hilton",Chicago,"1,530",8.8,4,"1,310",9.6,9.2,8.8,9.3,8.6,9.0,8.4,600,350,16,5.0,8.0,False
Hampton Inn Chicago Downtown/Magnificent Mile,Chicago,"1,680",7.7,3,904,9.0,8.3,8.5,8.3,7.8,7.9,7.6,900,450,16,8.0,6.0,True
Best Western Grant Park ,Chicago,"1,014",7.1,3,"1,108",8.7,7.6,8.2,7.6,7.4,7.1,8.1,850,250,14,9.0,2.0,False
Nobu  Chicago,Chicago,"2,353",9.0,5,341,9.3,9.5,9.1,9.5,8.4,9.3,9.6,2.3,250,14,6.0,1.0,True
Travelodge by Wyndham Downtown Chicago,Chicago,"1,169",6.0,2,"2,535",8.4,6.5,7.3,6.6,6.5,6.1,7.6,950,150,14,5.0,2.0,False
"voco - Chicago Downtown, an IHG ",Chicago,"1,106",7.3,0,9,7.8,8.1,8.1,8.6,6.7,7.8,,1.2,250,15,7.0,,
Selina Chicago,Chicago,"1,371",7.3,4,629,9.2,7.6,7.8,7.8,7.4,7.4,8.8,1.2,300,16,3.0,1.0,True
 Versey Days Inn by Wyndham Chicago,Chicago,742,8.0,3,"1,038",9.1,8.4,8.7,8.4,8.0,8.0,7.9,1.8,650,19,6.0,6.0,False
The Chicago  Collection River North,Chicago,978,7.2,3,560,8.1,8.1,7.8,8.1,7.1,7.8,7.8,1.3,250,16,4.0,1.0,True
Hyatt House Chicago West Loop,Chicago,"1,714",8.5,3,758,9.1,8.9,8.9,9.0,8.4,8.9,8.6,1.8,400,14,4.0,2.0,True
The Willows ,Chicago,"1,058",7.6,3,585,8.9,8.1,8.4,8.1,7.5,7.4,8.1,1.9,800,19,6.0,1.0,False
The Buckingham ,Chicago,"1,450",8.7,3,508,8.9,9.0,9.1,9.1,8.4,8.6,7.7,1.1,50,14,4.0,2.0,False
Hampton Inn Chicago Downtown/N Loop/Michigan Ave,Chicago,"1,302",7.9,3,"1,096",9.3,8.2,8.5,8.4,7.9,8.0,7.7,550,250,15,8.0,1.0,True
Hyatt Centric Chicago Magnificent Mile,Chicago,"1,719",8.5,4,707,9.3,9.0,8.8,8.9,8.2,8.7,8.6,600,550,16,7.0,2.0,True
" Blake, an Ascend Hotel Collection Member",Chicago,"1,646",9.0,4,914,9.3,9.4,9.3,9.4,8.9,9.1,8.9,850,150,14,4.0,1.0,False
