Name,City,Price,Rating,Stars,Reviews,Location,Cleanliness,staff,Comfort,Value for Money,Facilities,Wifi,Closest attraction dist,Closest transportation,Closest airport,payment methods,Number of languages,Allowing pets
The Darwin ,Atlanta,519.0,9.3,2,27.0,8.1,9.5,9.8,9.7,8.8,9.7,7.904301075268817,1.7,1.4,14.0,5.0,1.0,True
Renaissance Concourse Atlanta Airport ,Atlanta,546.0,8.3,4,1247.0,9.0,8.8,8.8,8.9,7.8,8.5,7.904301075268817,10.0,2.1,1.8,7.0,1.0,False
"Crowne Plaza Atlanta Midtown, an IHG ",Atlanta,649.0,6.8,4,946.0,8.0,7.5,8.1,7.6,6.8,7.2,7.3,1.1,0.15,14.0,9.0,3.0,True
Hyatt Regency Atlanta,Atlanta,927.0,8.2,4,4356.0,8.7,8.6,8.6,8.6,8.0,8.5,8.1,0.7,0.25,14.0,7.0,1.0,False
Atlanta Marriott Marquis,Atlanta,615.0,7.7,4,7075.0,8.5,8.2,8.3,8.2,7.8,8.1,7.904301075268817,0.75,0.3,14.0,7.0,5.0,False
Nobu  Atlanta,Atlanta,1460.0,8.8,5,9.0,8.1,9.2,8.9,9.2,7.8,9.2,7.904301075268817,7.0,0.9,6.0,5.0,1.0,True
"Country Inn & Suites by Radisson, Atlanta Airport North, GA",Atlanta,481.0,7.7,3,1844.0,8.3,8.1,8.5,8.1,7.9,8.0,8.4,12.0,1.9,2.5,5.0,1.0,False
Country Inn & Suites Atlanta Downtown,Atlanta,309.0,5.4,3,1852.0,7.1,5.9,7.1,6.0,6.0,5.7,7.0,2.7,1.7,11.0,4.0,1.0,False
Omni Atlanta  at CNN Center,Atlanta,986.0,7.9,4,1983.0,9.0,8.5,8.6,8.5,7.6,8.1,7.904301075268817,0.65,0.45,14.0,8.0,1.0,True
"The Westin Peachtree Plaza, Atlanta",Atlanta,677.0,7.5,4,2491.0,8.6,8.1,8.3,8.2,7.4,7.9,5.0,0.65,10.0,14.0,7.0,1.0,True
Hyatt Centric Midtown Atlanta,Atlanta,718.0,8.4,3,360.0,9.1,8.9,9.0,8.8,8.1,8.7,8.6,1.4,0.35,13.0,7.0,3.0,True
"Holiday Inn Express & Suites - Atlanta Downtown, an IHG ",Atlanta,658.0,6.6,3,447.0,8.2,7.1,8.0,7.3,6.8,6.7,7.2,0.6,0.3,14.0,5.0,2.0,False
"Motel 6-Atlanta, GA - Downtown",Atlanta,343.0,6.6,2,493.0,8.1,7.2,7.6,7.2,7.0,6.9,7.7,1.0,0.5,15.0,4.0,1.0,True
"The Starling Atlanta Midtown, Curio Collection by Hilton",Atlanta,523.0,8.3,4,1624.0,9.1,8.8,8.8,8.8,8.2,8.6,7.904301075268817,2.8,0.6,13.0,10.0,1.0,True
"Holiday Inn Express & Suites Atlanta Airport NE - Hapeville, an IHG ",Atlanta,457.0,8.5,3,463.0,8.5,9.0,8.8,9.1,8.5,8.8,8.9,9.0,4.8,3.5,7.0,1.0,False
Loews Atlanta ,Atlanta,920.0,8.7,4,184.0,9.4,9.1,9.1,9.3,8.2,8.9,7.5,1.3,0.4,13.0,3.0,2.0,True
"Staybridge Suites Atlanta-Buckhead, an IHG ",Atlanta,457.0,8.1,3,158.0,8.9,8.4,8.4,8.5,8.2,8.1,8.0,5.0,1.3,8.0,4.0,1.0,True
The Westin Atlanta Airport,Atlanta,581.0,7.8,4,508.0,8.5,8.4,8.4,8.4,7.8,8.2,8.0,14.0,1.9,3.0,7.0,2.0,True
SpringHill Suites by Marriott Atlanta Airport Gateway,Atlanta,855.0,8.4,3,213.0,9.1,8.9,8.7,8.9,8.0,8.6,8.6,13.0,1.2,2.8,7.0,1.0,False
" Indigo Atlanta Midtown, an IHG Hotel",Atlanta,617.0,7.8,3,374.0,9.0,8.5,8.7,8.5,7.7,8.1,8.2,1.3,0.3,14.0,6.0,1.0,True
Artmore ,Atlanta,546.0,6.5,3,416.0,8.1,7.2,7.8,7.4,6.7,6.5,7.3,1.4,0.15,13.0,4.0,1.0,True
Embassy Suites by Hilton Atlanta Midtown,Atlanta,643.0,7.7,3,451.0,8.9,8.5,8.0,8.5,7.7,8.3,7.7,1.7,1.1,13.0,8.0,1.0,True
Grand Hyatt Atlanta in Buckhead,Atlanta,804.0,8.6,4,453.0,9.4,9.1,9.1,9.0,8.3,9.0,8.3,6.0,0.4,7.0,6.0,2.0,True
La Quinta by Wyndham Atlanta Airport South,Atlanta,326.0,6.8,3,1425.0,7.7,7.4,7.7,7.4,7.2,7.2,8.0,14.0,2.1,2.9,4.0,1.0,True
