Name,City,Price,Rating,Stars,Reviews,Location,Cleanliness,staff,Comfort,Value for Money,Facilities,Wifi,Closest attraction dist,Closest transportation,Closest airport,payment methods,Number of languages,Allowing pets
Found  Boston Common,Boston,993.0,7.8,2,2012.0,9.2,8.2,8.7,8.1,7.6,7.7,8.3,1.3,0.15,4.8,4.0,2,False
Encore Boston Harbor,Boston,1151.0,9.3,5,2804.0,8.8,9.7,9.4,9.7,8.8,9.6,8.9,2.7,0.5,6.0,6.0,1,False
The Godfrey  Boston,Boston,1439.0,8.9,4,5964.0,9.5,9.4,9.3,9.4,8.4,9.1,8.337179487179487,0.55,0.15,4.3,5.0,1,True
Hyatt Centric Faneuil Hall Boston,Boston,1470.0,8.5,4,1143.0,9.5,9.0,9.2,9.0,8.1,8.5,8.8,0.8,0.1,3.8,4.0,2,True
Hampton Inn Boston Logan Airport,Boston,768.0,7.6,3,4141.0,7.7,8.3,8.1,8.3,7.6,7.9,8.3,6.0,1.2,4.2,6.0,2,False
"The Langham, Boston",Boston,2216.0,9.2,5,244.0,9.3,9.6,9.7,9.7,8.3,9.3,9.2,0.55,0.4,3.7,6.0,8,True
Seaport ® Boston,Boston,1083.0,8.9,4,1819.0,9.2,9.4,9.2,9.4,8.3,9.1,9.4,1.5,1.2,3.0,6.0,2,True
Omni Boston  at the Seaport,Boston,1353.0,8.6,4,1078.0,9.0,9.2,9.0,9.2,8.0,9.0,8.4,0.95,1.2,3.2,8.0,1,True
DoubleTree by Hilton  Boston - Downtown,Boston,1272.0,7.8,3,566.0,8.6,8.3,8.6,8.3,7.4,8.0,7.5,0.7,0.1,4.7,7.0,2,False
"Staypineapple, A Delightful , South End",Boston,1154.0,8.3,4,610.0,9.0,8.9,9.0,8.9,7.9,8.3,8.2,0.8,0.25,5.0,6.0,2,True
YOTEL Boston,Boston,1101.0,7.9,4,2383.0,9.2,8.7,8.6,8.6,7.6,8.2,8.6,0.95,0.65,3.2,7.0,1,False
Hilton Boston Logan Airport,Boston,1218.0,8.2,4,1689.0,9.3,8.9,8.5,8.9,7.3,8.4,8.337179487179487,2.7,1.0,1.1,7.0,2,True
Onyx Boston Downtown,Boston,1470.0,7.8,4,952.0,9.0,8.4,8.6,8.4,7.6,7.9,8.9,0.7,0.15,4.1,4.0,1,True
The Boxer,Boston,1086.0,7.9,4,642.0,8.9,8.3,8.7,8.5,7.2,8.0,8.7,0.7,0.2,4.2,4.0,1,True
Boston Park Plaza,Boston,1422.0,8.1,4,3430.0,9.4,8.5,8.5,8.6,7.4,8.2,8.2,1.2,0.45,5.0,9.0,8,True
"Holiday Inn Express Boston, an IHG ",Boston,1020.0,8.0,3,1173.0,7.9,8.5,8.4,8.6,7.8,8.2,8.2,2.5,0.35,6.0,6.0,4,False
Hilton Boston Downtown/Faneuil Hall,Boston,1334.0,8.0,4,768.0,9.3,8.6,8.7,8.6,7.5,8.3,8.337179487179487,0.6,0.3,3.5,6.0,8,True
The Whitney  Boston,Boston,1968.0,9.0,5,329.0,9.6,9.6,9.3,9.5,8.3,9.1,9.1,0.8,0.05,5.0,4.0,1,True
The Colonnade ,Boston,1851.0,8.5,4,1890.0,9.4,9.0,8.8,9.1,7.9,8.6,9.1,1.3,0.55,6.0,4.0,1,True
Hyatt Regency Boston,Boston,1481.0,8.3,4,2017.0,9.2,8.8,8.9,8.8,8.0,8.5,8.2,0.65,0.2,4.3,7.0,3,True
The Lenox,Boston,2250.0,9.1,4,703.0,9.8,9.4,9.6,9.5,8.6,9.1,9.5,0.95,0.4,6.0,5.0,9,False
"Club Quarters  Faneuil Hall, Boston",Boston,1201.0,8.2,4,3193.0,9.3,8.4,9.0,8.5,7.9,8.2,8.8,0.45,0.25,3.9,4.0,2,True
Wyndham Boston Beacon Hill,Boston,1834.0,7.5,4,1823.0,8.9,7.8,8.2,7.9,7.1,7.5,8.1,0.85,0.35,4.6,7.0,3,True
Hampton Inn Boston Seaport District,Boston,957.0,8.6,3,1187.0,8.2,9.3,8.9,9.2,8.1,9.0,8.6,1.5,1.7,3.1,8.0,1,True
