Name,City,Price,Rating,Stars,Reviews,Location,Cleanliness,staff,Comfort,Value for Money,Facilities,Wifi,Closest attraction dist,Closest transportation,Closest airport,payment methods,Number of languages,Allowing pets
Warwick Allerton Chicago,Chicago,1199.0,7.2,4,3400.0,9.4,7.6,7.5,7.7,7.2,7.1,7.3,0.85,0.4,16.0,9.0,6.0,True
Eurostars Magnificent Mile,Chicago,1374.0,8.2,4,2717.0,9.1,8.7,8.8,8.8,8.2,8.2,8.2,0.75,0.25,16.0,4.0,2.0,False
Pendry Chicago,Chicago,2387.0,9.0,4,884.0,9.8,9.5,9.2,9.5,8.6,9.2,9.4,0.75,0.25,15.0,7.0,3.0,True
SpringHill Suites by Marriott Chicago Chinatown,Chicago,649.0,9.0,3,409.0,9.0,9.5,9.4,9.4,8.8,9.4,8.6,2.3,0.4,12.0,5.0,4.0,False
Acme  Company Chicago,Chicago,1645.0,8.2,4,1063.0,9.5,8.5,8.5,8.6,8.0,8.1,9.0,0.65,0.1,16.0,4.0,2.0,True
citizenM Chicago Downtown,Chicago,1817.0,8.9,4,414.0,9.7,9.2,9.1,9.3,8.8,9.1,9.5,0.7,0.25,15.0,6.0,1.0,False
Trump International  & Tower Chicago,Chicago,2048.0,9.0,5,883.0,9.7,9.3,9.1,9.4,8.4,9.1,8.6,0.75,0.3,16.0,6.0,9.0,True
The Talbott ,Chicago,890.0,8.2,4,285.0,9.5,8.7,9.0,8.8,8.2,8.2,8.0,1.1,0.3,16.0,4.0,2.0,True
The Palmer House Hilton,Chicago,1594.0,7.6,4,678.0,9.3,8.1,8.2,8.2,7.1,7.8,6.4,0.75,0.05,15.0,7.0,2.0,True
Hilton Chicago,Chicago,1714.0,8.1,4,423.0,9.2,8.5,8.7,8.7,7.5,8.4,8.6,0.9,0.35,14.0,7.0,3.0,True
"The Hoxton, Chicago",Chicago,1645.0,8.4,4,216.0,9.3,8.8,8.7,8.7,7.8,8.8,8.3,2.2,0.25,14.0,5.0,1.0,True
Chicago Marriott Downtown Magnificent Mile,Chicago,1769.0,8.0,4,563.0,9.3,8.5,8.4,8.6,7.6,8.3,6.3,0.85,0.3,16.0,7.0,4.0,False
"Crowne Plaza - Chicago West Loop, an IHG ",Chicago,1206.0,7.9,3,818.0,8.7,8.4,8.6,8.5,7.7,8.1,8.2,2.0,0.55,14.0,4.0,3.0,True
 Chicago West Loop,Chicago,1061.0,7.7,2,886.0,8.4,8.0,8.6,8.1,7.6,7.9,8.2,2.7,0.5,12.0,6.0,2.0,True
"Kimpton  Monaco Chicago, an IHG Hotel",Chicago,1817.0,8.9,4,251.0,9.6,9.3,9.4,9.4,8.2,8.9,8.268518518518519,0.5,0.15,15.0,4.0,3.0,True
Marriott Marquis Chicago,Chicago,2058.0,8.7,4,200.0,9.1,9.2,8.9,9.2,7.9,9.0,7.2,1.5,0.4,13.0,7.0,5.0,False
W Chicago - Lakeshore,Chicago,1714.0,8.0,4,1251.0,9.2,8.5,8.6,8.5,7.6,8.1,8.268518518518519,0.85,1.1,17.0,6.0,3.0,True
Homewood Suites by Hilton Chicago Downtown,Chicago,1450.0,8.1,3,1978.0,9.2,8.3,8.8,8.4,8.0,8.2,8.2,0.65,0.15,16.0,10.0,7.0,True
Hyatt Place Chicago/Downtown - The Loop,Chicago,1594.0,8.0,3,5363.0,8.8,8.5,8.5,8.5,8.0,8.3,8.5,1.1,0.1,15.0,9.0,2.0,True
Viceroy Chicago,Chicago,2387.0,9.0,5,1247.0,9.5,9.3,9.3,9.3,8.6,9.2,9.2,1.2,0.3,17.0,6.0,6.0,True
The Langham Chicago,Chicago,3624.0,9.3,5,387.0,9.7,9.6,9.6,9.7,8.7,9.6,9.6,0.75,0.3,15.0,6.0,5.0,True
Swissotel Chicago,Chicago,1574.0,8.2,4,675.0,9.1,8.8,8.5,8.9,7.9,8.5,8.268518518518519,0.6,0.45,16.0,4.0,5.0,True
"Sable At Navy Pier Chicago, Curio Collection By Hilton",Chicago,1747.0,8.9,4,919.0,9.6,9.3,9.1,9.3,8.5,9.1,8.5,1.7,1.9,17.0,7.0,1.0,False
"Staypineapple, An Iconic , The Loop",Chicago,1827.0,8.7,4,989.0,9.7,9.2,9.1,9.1,8.4,8.7,9.2,0.8,0.1,15.0,6.0,1.0,True
Hyatt Centric The Loop Chicago,Chicago,1989.0,8.2,4,1068.0,9.2,8.6,8.8,8.7,8.0,8.3,8.6,0.75,0.15,15.0,5.0,1.0,True
Fairmont Chicago Millennium Park,Chicago,1714.0,7.9,4,114.0,9.2,8.4,8.5,8.5,7.5,8.2,8.268518518518519,0.75,0.3,16.0,4.0,1.0,True
Kinzie ,Chicago,1714.0,8.3,4,752.0,9.3,9.0,8.9,9.0,8.2,8.6,8.268518518518519,0.9,0.3,15.0,4.0,13.0,True
"Club Quarters  Wacker at Michigan, Chicago",Chicago,1250.0,8.1,4,2973.0,9.7,8.3,9.0,8.4,8.1,7.9,8.6,0.6,0.3,15.0,4.0,2.0,True
"The Blackstone, Autograph Collection",Chicago,2401.0,8.6,4,326.0,9.1,9.2,8.8,9.1,8.2,8.9,8.268518518518519,1.0,0.3,14.0,7.0,1.0,True
The Whitehall ,Chicago,1542.0,7.3,4,1366.0,9.3,7.8,8.3,7.9,7.5,7.0,8.3,0.95,0.35,16.0,5.0,1.0,True
Loews Chicago ,Chicago,2319.0,8.8,4,1220.0,9.4,9.3,9.1,9.3,8.5,9.1,8.1,0.75,0.7,16.0,6.0,3.0,True
 Saint Clair - Magnificent Mile,Chicago,1543.0,7.5,4,3055.0,9.2,8.0,8.0,8.0,7.8,7.5,7.9,0.7,0.45,16.0,4.0,1.0,True
City Suites ,Chicago,958.0,7.9,3,443.0,9.1,8.4,8.3,8.6,7.8,7.9,8.9,2.8,0.04,19.0,5.0,3.0,False
Ivy Boutique ,Chicago,1611.0,8.4,4,1701.0,9.2,8.9,8.6,8.9,8.5,8.6,8.0,0.7,0.55,16.0,5.0,2.0,False
Hyatt Regency Chicago,Chicago,1351.0,8.2,4,1595.0,9.4,8.4,8.7,8.5,7.7,8.4,7.8,0.6,0.45,16.0,7.0,19.0,False
"LondonHouse Chicago, Curio Collection by Hilton",Chicago,1530.0,8.8,4,1310.0,9.6,9.2,8.8,9.3,8.6,9.0,8.4,0.6,0.35,16.0,5.0,8.0,False
Hampton Inn Chicago Downtown/Magnificent Mile,Chicago,1680.0,7.7,3,904.0,9.0,8.3,8.5,8.3,7.8,7.9,7.6,0.9,0.45,16.0,8.0,6.0,True
Best Western Grant Park ,Chicago,1014.0,7.1,3,1108.0,8.7,7.6,8.2,7.6,7.4,7.1,8.1,0.85,0.25,14.0,9.0,2.0,False
Nobu  Chicago,Chicago,2353.0,9.0,5,341.0,9.3,9.5,9.1,9.5,8.4,9.3,9.6,2.3,0.25,14.0,6.0,1.0,True
Travelodge by Wyndham Downtown Chicago,Chicago,1169.0,6.0,2,2535.0,8.4,6.5,7.3,6.6,6.5,6.1,7.6,0.95,0.15,14.0,5.0,2.0,False
Selina Chicago,Chicago,1371.0,7.3,4,629.0,9.2,7.6,7.8,7.8,7.4,7.4,8.8,1.2,0.3,16.0,3.0,1.0,True
 Versey Days Inn by Wyndham Chicago,Chicago,742.0,8.0,3,1038.0,9.1,8.4,8.7,8.4,8.0,8.0,7.9,1.8,0.65,19.0,6.0,6.0,False
The Chicago  Collection River North,Chicago,978.0,7.2,3,560.0,8.1,8.1,7.8,8.1,7.1,7.8,7.8,1.3,0.25,16.0,4.0,1.0,True
Hyatt House Chicago West Loop,Chicago,1714.0,8.5,3,758.0,9.1,8.9,8.9,9.0,8.4,8.9,8.6,1.8,0.4,14.0,4.0,2.0,True
The Willows ,Chicago,1058.0,7.6,3,585.0,8.9,8.1,8.4,8.1,7.5,7.4,8.1,1.9,0.8,19.0,6.0,1.0,False
The Buckingham ,Chicago,1450.0,8.7,3,508.0,8.9,9.0,9.1,9.1,8.4,8.6,7.7,1.1,0.05,14.0,4.0,2.0,False
Hampton Inn Chicago Downtown/N Loop/Michigan Ave,Chicago,1302.0,7.9,3,1096.0,9.3,8.2,8.5,8.4,7.9,8.0,7.7,0.55,0.25,15.0,8.0,1.0,True
Hyatt Centric Chicago Magnificent Mile,Chicago,1719.0,8.5,4,707.0,9.3,9.0,8.8,8.9,8.2,8.7,8.6,0.6,0.55,16.0,7.0,2.0,True
" Blake, an Ascend Hotel Collection Member",Chicago,1646.0,9.0,4,914.0,9.3,9.4,9.3,9.4,8.9,9.1,8.9,0.85,0.15,14.0,4.0,1.0,False
The Robey,Chicago,1165.0,8.5,4,329.0,9.2,9.2,8.9,9.0,7.8,8.8,8.7,3.6,0.1,15.0,4.0,2.0,False
Sheraton Grand Chicago Riverwalk,Chicago,1609.0,7.9,4,916.0,9.3,8.3,8.4,8.4,7.4,8.1,6.9,0.8,0.65,16.0,7.0,6.0,True
