Name,City,Price,Rating,Stars,Reviews,Location,Cleanliness,staff,Comfort,Value for Money,Facilities,Wifi,Closest attraction dist,Closest transportation,Closest airport,payment methods,Number of languages,Allowing pets
Embassy Suites Dallas - Park Central Area,Dallas,374.0,7.3,3,1402.0,7.7,7.8,8.0,7.8,7.7,7.5,7.904273504273505,7.0,6.0,8.0,8.0,2,True
"The Adolphus, Autograph Collection",Dallas,993.0,8.4,5,163.0,9.1,9.0,9.0,9.0,7.9,8.9,7.904273504273505,0.7,0.85,9.0,4.0,3,True
Motel 6 Dallas TX Downtown,Dallas,227.0,6.6,2,717.0,7.8,7.2,7.5,7.1,7.1,6.8,8.4,2.7,0.7,6.0,4.0,1,True
"Holiday Inn Express & Suites - Dallas NW HWY - Love Field, an IHG ",Dallas,402.0,8.9,3,338.0,9.0,9.3,9.1,9.4,9.0,9.2,8.1,11.0,1.9,5.0,7.0,2,False
Virgin s Dallas,Dallas,992.0,8.5,4,354.0,8.8,9.1,8.9,9.0,8.0,9.0,8.7,2.6,0.95,6.0,8.0,1,True
Omni Dallas ,Dallas,1027.0,8.7,4,1698.0,9.2,9.2,9.0,9.2,8.4,9.1,7.904273504273505,1.0,0.4,9.0,8.0,4,True
Hyatt Regency DFW International Airport,Dallas,708.0,8.3,3,1391.0,9.0,8.8,8.9,8.8,7.7,8.5,8.5,14.0,0.25,250.0,7.0,2,False
Aloft Dallas Downtown,Dallas,584.0,8.4,3,478.0,9.1,8.8,8.9,8.8,8.5,8.6,10.0,0.8,0.5,9.0,7.0,2,True
The Beeman ,Dallas,454.0,8.3,3,808.0,9.1,8.8,8.9,8.9,8.5,8.6,8.3,6.0,6.0,7.0,5.0,1,True
" Indigo Dallas Downtown, an IHG Hotel",Dallas,611.0,8.0,3,798.0,8.7,8.6,8.7,8.6,8.1,8.3,8.3,1.1,1.4,9.0,7.0,2,True
MCM Elegante  and Suites – Dallas,Dallas,443.0,8.0,3,1185.0,8.2,8.4,8.5,8.4,8.3,8.2,8.1,10.0,2.7,4.2,4.0,2,True
Canvas  Dallas,Dallas,854.0,8.2,4,465.0,8.7,8.9,8.6,8.9,8.0,8.6,7.4,2.0,0.8,10.0,5.0,2,True
Hyatt House Dallas Uptown,Dallas,486.0,7.4,3,604.0,8.5,7.8,8.3,7.8,7.5,7.4,8.2,1.7,0.6,7.0,7.0,2,True
Hampton Inn & Suites Dallas Downtown,Dallas,471.0,8.2,3,1315.0,8.9,8.8,8.4,8.9,8.3,8.6,8.4,0.85,1.1,9.0,5.0,2,False
The Westin Dallas Park Central,Dallas,581.0,8.3,4,895.0,8.8,8.8,8.7,8.8,8.4,8.6,8.2,6.0,6.0,8.0,7.0,5,True
Fairmont Dallas,Dallas,701.0,7.9,4,538.0,9.0,8.6,8.7,8.6,7.8,8.2,7.904273504273505,0.85,1.2,8.0,4.0,2,True
Thompson Dallas,Dallas,1029.0,9.0,4,79.0,9.2,9.3,9.3,9.3,8.2,9.4,8.9,0.55,0.75,9.0,4.0,1,True
"Candlewood Suites Dallas Market Center-Love Field, an IHG ",Dallas,357.0,7.9,3,690.0,8.5,8.3,8.6,8.3,8.3,8.1,7.6,7.0,3.4,3.2,6.0,2,True
Lorenzo ,Dallas,684.0,8.8,4,503.0,8.8,9.1,8.9,9.2,8.5,9.0,8.2,1.5,0.7,10.0,5.0,1,True
Courtyard by Marriott Dallas Downtown/Reunion District,Dallas,684.0,8.5,3,1410.0,8.9,9.1,8.8,9.2,8.6,8.8,8.6,0.95,0.15,9.0,6.0,1,False
"Crowne Plaza  Dallas Downtown, an IHG Hotel",Dallas,519.0,6.6,4,1426.0,7.8,7.1,7.6,7.3,6.8,6.8,7.0,0.65,0.6,9.0,5.0,2,True
"Holiday Inn Express  & Suites Dallas West, an IHG Hotel",Dallas,477.0,8.3,3,1013.0,8.7,8.7,8.6,8.7,8.4,8.5,8.7,8.0,5.0,10.0,4.0,2,False
Canopy By Hilton Dallas Uptown,Dallas,832.0,8.6,4,230.0,9.4,9.3,8.9,9.4,8.4,9.0,8.8,2.5,2.6,7.0,7.0,1,False
Hilton Garden Inn Dallas/Market Center,Dallas,366.0,7.9,3,325.0,8.5,8.3,8.5,8.4,7.9,8.0,8.5,3.5,0.9,5.0,8.0,1,False
Homewood Suites Dallas Downtown,Dallas,493.0,8.2,3,832.0,8.9,8.6,8.7,8.6,8.2,8.3,8.2,0.65,0.7,9.0,6.0,2,True
Renaissance Dallas ,Dallas,1061.0,8.5,4,427.0,9.0,9.0,9.0,9.0,8.3,8.8,7.9,3.5,0.75,5.0,7.0,4,False
Fairfield Inn & Suites Dallas Medical/Market Center,Dallas,368.0,8.0,3,159.0,8.6,8.5,8.7,8.6,8.2,8.3,8.9,2.7,0.65,6.0,9.0,2,False
Warwick Melrose ,Dallas,1048.0,8.6,4,777.0,9.2,9.1,8.9,9.1,8.6,8.9,7.904273504273505,2.9,1.5,6.0,9.0,2,False
SpringHill Suites by Marriott Dallas Downtown / West End,Dallas,435.0,7.3,3,772.0,8.3,7.7,8.4,7.7,7.5,7.5,8.1,0.8,0.75,8.0,6.0,1,False
Hilton Garden Inn Downtown Dallas,Dallas,610.0,8.1,4,357.0,8.9,8.5,8.7,8.6,8.0,8.3,8.7,0.65,1.1,9.0,7.0,1,True
La Quinta by Wyndham Dallas Love Field,Dallas,399.0,7.9,3,1400.0,8.3,8.4,8.4,8.4,8.2,8.2,8.4,8.0,3.9,3.7,4.0,2,True
Element Dallas Downtown East,Dallas,495.0,8.2,3,240.0,8.7,8.8,8.5,8.9,7.9,8.6,7.7,2.2,3.3,9.0,6.0,2,True
SOVA Micro-Room & Social ,Dallas,448.0,8.5,3,914.0,9.1,8.8,9.5,8.7,8.6,8.6,8.9,1.3,1.5,9.0,4.0,3,False
The Lumen,Dallas,787.0,7.7,4,230.0,9.0,8.5,8.6,8.3,7.6,8.0,8.5,6.0,5.0,6.0,9.0,2,True
Sheraton Dallas ,Dallas,801.0,8.0,4,371.0,8.7,8.6,8.6,8.6,7.7,8.4,7.5,1.0,1.6,9.0,7.0,2,True
Fairfield Inn & Suites by Marriott Dallas Downtown,Dallas,420.0,7.6,3,590.0,7.5,8.3,8.2,8.2,7.8,8.1,8.7,1.2,0.95,9.0,6.0,1,False
Le Meridien Dallas by the Galleria,Dallas,522.0,8.3,4,931.0,8.9,8.7,8.7,8.8,8.4,8.5,7.904273504273505,8.0,10.0,4.6,7.0,2,True
"Crowne Plaza Dallas Market Center, an IHG ",Dallas,551.0,7.2,4,1364.0,7.9,7.8,8.1,7.9,7.6,7.5,8.6,7.0,2.7,3.8,7.0,2,False
Embassy Suites by Hilton Dallas-Love Field,Dallas,609.0,8.6,3,941.0,9.0,9.0,8.9,8.9,8.6,8.8,7.904273504273505,7.0,6.0,1.7,7.0,1,True
DoubleTree by Hilton Dallas Near the Galleria,Dallas,449.0,8.2,3,611.0,8.8,8.6,8.7,8.6,8.3,8.4,8.2,9.0,10.0,5.0,4.0,2,True
Magnolia  Downtown Dallas,Dallas,863.0,7.7,4,631.0,9.0,8.2,8.6,8.3,7.6,7.8,8.0,0.8,0.9,9.0,5.0,2,True
DoubleTree by Hilton Dallas Market Center,Dallas,448.0,7.6,3,424.0,8.2,8.2,8.5,8.1,7.6,7.9,8.8,2.7,0.75,6.0,7.0,2,False
Home2 Suites by Hilton Dallas Downtown at Baylor Scott & White,Dallas,458.0,8.0,3,594.0,8.7,8.6,8.4,8.6,8.0,8.4,8.1,2.2,2.8,9.0,6.0,1,True
"HALL Arts  Dallas, Curio Collection by Hilton",Dallas,1278.0,8.8,5,458.0,9.2,9.3,9.2,9.4,8.4,9.2,8.8,1.1,1.6,8.0,9.0,1,True
The Joule,Dallas,1371.0,8.7,4,216.0,9.2,9.2,9.1,9.4,8.3,9.1,7.904273504273505,0.75,1.0,9.0,5.0,1,True
Hampton Inn & Suites Dallas East,Dallas,289.0,8.4,3,476.0,8.5,8.8,8.5,8.8,8.5,8.7,7.9,7.0,10.0,16.0,10.0,1,False
SpringHill Suites by Marriott Dallas Richardson/University Area,Dallas,429.0,9.0,3,367.0,9.1,9.4,9.1,9.4,9.1,9.4,8.8,13.0,14.0,8.0,5.0,2,False
"The Highland Dallas, Curio Collection by Hilton",Dallas,752.0,8.1,4,206.0,8.9,8.7,8.9,8.5,7.6,8.2,7.904273504273505,3.9,6.0,7.0,8.0,2,True
"Kimpton - Pittman , an IHG Hotel",Dallas,955.0,9.0,4,228.0,9.1,9.4,9.4,9.6,8.7,9.3,5.0,1.7,2.0,9.0,7.0,3,True
Alexis  & Banquets Dallas Park Central Galleria,Dallas,277.0,7.1,3,1524.0,7.6,7.6,7.7,7.6,7.6,7.3,7.9,6.0,6.0,8.0,9.0,2,False
Dallas Marriott Suites Medical/Market Center,Dallas,464.0,8.0,3,351.0,8.5,8.5,8.4,8.5,8.1,8.2,7.4,4.1,0.45,4.8,7.0,1,False
Residence Inn Dallas Park Central,Dallas,477.0,8.1,3,83.0,8.4,8.5,8.8,8.6,8.2,8.0,7.904273504273505,6.0,6.0,8.0,7.0,1,True
Hilton Dallas-Park Cities,Dallas,762.0,8.3,4,101.0,9.1,8.9,8.7,8.8,7.9,8.7,7.2,9.0,7.0,4.2,7.0,2,False
TownePlace Suites by Marriott Dallas Downtown,Dallas,391.0,7.3,3,528.0,7.4,8.0,7.8,8.0,7.7,7.8,7.9,1.2,0.95,9.0,6.0,1,True
AC  By Marriott Dallas By The Galleria,Dallas,684.0,8.8,4,509.0,9.0,9.1,8.9,9.1,8.7,9.1,8.5,8.0,10.0,4.9,7.0,2,False
Best Western Plus Dallas Love Field North ,Dallas,266.0,7.0,4,1391.0,7.3,7.5,8.1,7.6,7.6,7.3,8.2,11.0,3.8,6.0,4.0,2,False
Hampton Inn & Suites Dallas Market Center,Dallas,406.0,8.6,3,236.0,8.8,9.1,8.7,9.0,8.5,8.8,7.9,6.0,1.8,4.0,6.0,1,False
La Quinta Inn & Suites by Wyndham Dallas/Fairpark,Dallas,292.0,7.5,3,676.0,8.3,8.1,8.0,8.2,8.0,7.9,7.904273504273505,7.0,10.0,16.0,6.0,1,True
La Quinta by Wyndham Dallas North Central,Dallas,356.0,7.6,3,942.0,8.2,8.0,8.4,8.0,7.8,7.8,7.8,4.7,3.8,9.0,9.0,2,True
Home2 Suites By Hilton Dallas North Park,Dallas,406.0,8.2,3,837.0,8.7,8.6,8.6,8.7,8.5,8.6,8.8,6.0,3.6,9.0,6.0,3,True
Studio 6 Suites Dallas TX Downtown,Dallas,240.0,6.7,2,13.0,7.5,7.3,7.3,7.3,6.9,6.9,7.904273504273505,2.7,0.75,6.0,4.0,1,True
Sheraton Dallas  by the Galleria,Dallas,553.0,8.2,4,562.0,8.7,8.5,8.5,8.6,8.2,8.4,8.1,8.0,10.0,4.9,6.0,2,True
Residence Inn by Marriott Dallas Downtown,Dallas,552.0,8.9,3,245.0,9.3,9.2,9.0,9.3,8.9,9.0,7.904273504273505,0.9,1.1,9.0,7.0,1,False
AC  by Marriott Dallas Downtown,Dallas,464.0,8.2,3,272.0,9.1,8.9,8.7,8.9,8.4,8.8,7.904273504273505,0.9,1.1,9.0,6.0,1,False
Hyatt Place Dallas Park Central,Dallas,380.0,7.7,3,672.0,8.4,8.1,8.6,8.1,7.9,7.8,8.6,5.0,6.0,9.0,7.0,1,True
"Le Meridien Dallas, The Stoneleigh",Dallas,1139.0,8.4,4,69.0,9.1,8.8,8.8,8.7,8.0,8.6,9.6,2.0,1.1,7.0,7.0,2,True
La Quinta Inn by Wyndham Dallas Uptown,Dallas,307.0,5.0,3,543.0,7.1,5.6,7.1,5.8,5.8,5.4,6.9,3.8,3.9,7.0,9.0,2,True
"Hilton Garden Inn Dallas-Central Expy/North Park Area, Tx",Dallas,523.0,8.6,3,196.0,9.1,9.2,9.0,9.1,8.6,8.9,8.0,5.0,3.7,9.0,8.0,1,False
Comfort Suites NW Dallas Near Love Field,Dallas,216.0,7.3,3,825.0,7.7,7.9,7.9,7.9,7.9,7.6,8.0,10.0,2.8,4.3,4.0,2,False
"Holiday Inn Express & Suites Dallas Fair Park, an IHG ",Dallas,291.0,7.1,3,119.0,8.0,7.6,7.8,7.5,7.1,7.0,8.1,7.0,10.0,16.0,4.0,2,True
Hampton Inn & Suites Dallas-Central Expy/North Park Area,Dallas,546.0,8.7,3,296.0,9.2,8.9,8.9,9.0,8.7,8.9,7.5,5.0,3.7,9.0,7.0,1,False
Baymont by Wyndham Dallas/ Love Field,Dallas,263.0,7.6,3,878.0,7.7,8.1,8.3,8.0,7.9,7.8,8.6,10.0,3.0,3.7,4.0,2,False
Sheraton Suites Market Center Dallas,Dallas,467.0,7.9,4,700.0,8.6,8.3,8.6,8.2,7.8,8.0,8.2,2.9,0.5,6.0,7.0,3,True
DoubleTree by Hilton  Dallas Campbell Centre,Dallas,426.0,8.4,3,559.0,8.9,8.8,8.9,8.8,8.4,8.5,7.904273504273505,7.0,4.1,8.0,6.0,2,False
Renaissance Saint Elm Dallas Downtown ,Dallas,649.0,8.4,4,1122.0,8.9,9.0,8.9,9.1,8.5,8.6,8.8,0.9,1.3,9.0,5.0,1,True
Homewood Suites by Hilton Dallas Market Center,Dallas,450.0,8.4,3,115.0,8.9,8.7,8.7,8.8,8.2,8.5,7.5,5.0,0.7,4.2,5.0,1,True
Aloft Dallas Love Field,Dallas,814.0,8.1,3,279.0,8.9,8.7,8.8,8.8,8.3,8.6,7.6,6.0,2.1,2.3,7.0,8,False
Sonesta Select Dallas Central Expressway,Dallas,356.0,8.4,3,872.0,8.7,8.9,8.8,8.9,8.7,8.6,8.2,5.0,3.8,9.0,9.0,2,True
Embassy Suites by Hilton Dallas Market Center,Dallas,507.0,7.5,3,765.0,8.4,8.1,8.4,8.0,7.7,7.5,7.904273504273505,4.7,0.45,4.3,9.0,2,True
La Quinta by Wyndham Dallas - Richardson,Dallas,406.0,7.5,3,596.0,7.7,8.1,7.9,8.2,7.9,8.0,7.7,7.0,6.0,8.0,4.0,1,False
Embassy Suites by Hilton Dallas Near the Galleria,Dallas,418.0,7.3,3,374.0,8.5,8.0,8.1,7.9,7.5,7.5,7.1,9.0,11.0,3.8,6.0,1,True
Sleep Inn Dallas Love Field-Medical District,Dallas,294.0,7.7,3,978.0,7.9,8.1,8.2,8.2,8.2,8.0,7.7,8.0,3.8,3.6,6.0,2,False
Residence Inn By Marriott Dallas By The Galleria,Dallas,649.0,8.9,3,262.0,9.0,9.1,8.9,9.1,8.7,9.0,9.1,8.0,10.0,4.9,7.0,2,True
Fairfield Inn & Suites Dallas Park Central,Dallas,231.0,7.5,3,235.0,7.6,7.9,8.5,8.1,7.7,7.7,2.5,6.0,4.1,11.0,7.0,1,False
DoubleTree by Hilton  Dallas - Love Field,Dallas,727.0,8.9,3,121.0,9.4,9.2,9.5,9.3,8.8,9.1,8.9,6.0,2.9,1.9,6.0,1,False
Element Dallas Love Field,Dallas,965.0,8.0,4,109.0,8.9,8.7,8.6,8.7,8.0,8.5,8.0,6.0,2.1,2.3,7.0,8,True
"Studio 6-Dallas, TX",Dallas,240.0,8.3,2,436.0,8.3,8.5,8.8,8.5,8.4,8.4,8.4,11.0,2.7,4.6,4.0,1,True
Comfort Inn & Suites North Dallas-Addison,Dallas,222.0,7.8,3,541.0,8.7,8.2,8.4,8.3,8.1,7.8,8.6,10.0,9.0,3.5,6.0,1,False
Courtyard Dallas Medical Market Center,Dallas,492.0,7.8,3,171.0,8.6,8.3,8.5,8.3,7.8,8.0,6.7,2.8,0.6,6.0,7.0,2,False
Sleep Inn Dallas Northwest - Irving,Dallas,250.0,8.9,2,74.0,8.7,9.4,9.1,9.2,9.3,9.2,9.5,12.0,3.8,8.0,7.0,1,False
"The Statler Dallas, Curio Collection By Hilton",Dallas,961.0,8.2,4,260.0,8.7,8.8,8.7,8.9,8.0,8.7,8.8,1.0,1.2,9.0,4.0,1,True
MainStay Suites Dallas Northwest - Irving,Dallas,377.0,9.1,2,46.0,8.6,9.3,9.1,9.1,9.0,9.3,6.3,12.0,3.8,8.0,7.0,1,False
Residence Inn Dallas Addison/Quorum Drive,Dallas,426.0,8.6,3,263.0,9.2,8.8,9.0,8.7,8.6,8.7,7.9,10.0,10.0,2.2,9.0,2,False
Sonesta ES Suites Dallas Central Expressway,Dallas,304.0,7.6,3,252.0,8.4,8.0,8.5,8.1,8.0,7.9,7.9,5.0,4.0,9.0,9.0,2,True
Dallas Marriott Downtown,Dallas,1439.0,8.3,4,162.0,8.9,8.8,8.7,8.7,8.0,8.5,8.4,0.95,1.7,8.0,7.0,2,True
Extended Stay America Suites - Dallas - Greenville Avenue,Dallas,237.0,6.0,2,220.0,6.8,6.8,7.5,6.7,6.6,6.4,6.0,6.0,4.1,11.0,6.0,1,True
OYO Townhouse Dallas Love Field Airport,Dallas,213.0,5.9,2,1190.0,6.6,6.8,6.5,6.7,6.8,6.5,6.8,10.0,2.7,3.9,4.0,1,False
"Holiday Inn Express & Suites North Dallas at Preston, an IHG ",Dallas,356.0,6.4,3,516.0,8.0,7.0,7.8,7.1,6.7,6.7,6.5,7.0,8.0,6.0,4.0,1,False
Hyatt House Dallas Lincoln Park,Dallas,388.0,7.8,3,271.0,8.9,8.2,8.5,8.4,8.0,8.2,7.2,7.0,4.3,8.0,6.0,1,True
Wingate by Wyndham Dallas Love Field,Dallas,377.0,7.6,3,379.0,8.0,8.2,7.9,8.2,8.1,8.1,8.8,8.0,3.9,2.9,7.0,2,False
Fairfield Inn & Suites by Marriott Dallas West/I-30,Dallas,357.0,8.8,3,299.0,9.0,9.1,9.0,9.1,8.8,8.9,9.0,8.0,6.0,10.0,6.0,1,False
Rosewood Mansion on Turtle Creek,Dallas,2147.0,9.4,4,91.0,9.6,9.9,9.8,10.0,8.8,9.6,10.0,2.4,1.6,6.0,4.0,3,True
Marriott Dallas Uptown,Dallas,1237.0,8.7,4,56.0,9.2,9.1,9.1,9.0,8.2,9.2,7.904273504273505,1.8,1.2,7.0,5.0,1,True
Quality Inn & Suites I-35 E/Walnut Hill,Dallas,216.0,6.0,2,348.0,6.6,6.8,7.1,6.9,6.7,6.3,7.6,11.0,3.7,6.0,4.0,2,False
Sonesta Simply Suites Dallas Galleria,Dallas,257.0,7.5,3,265.0,8.4,8.1,7.8,8.2,8.0,7.8,6.7,8.0,11.0,3.9,5.0,2,True
Dallas-Addison Marriott Quorum by the Galleria,Dallas,639.0,7.8,4,136.0,8.8,8.5,8.7,8.4,8.0,8.3,7.904273504273505,10.0,10.0,2.3,7.0,1,False
Hawthorn Suites Dallas Love Field,Dallas,289.0,5.9,3,673.0,7.0,6.5,7.6,6.6,6.6,6.3,6.2,7.0,2.6,3.4,6.0,2,True
W Dallas - Victory,Dallas,1295.0,7.3,4,187.0,8.8,8.3,8.0,8.5,6.7,7.8,7.904273504273505,1.1,0.3,8.0,7.0,2,True
 Crescent Court,Dallas,1561.0,9.0,5,204.0,9.7,9.4,9.2,9.4,8.7,9.3,9.4,1.6,0.9,7.0,4.0,4,True
"Hampton Inn & Suites Dallas I-30 Cockrell Hill, Tx",Dallas,414.0,8.3,2,64.0,8.6,8.7,8.7,8.8,8.1,8.6,5.0,8.0,6.0,10.0,8.0,3,False
Comfort Suites North Dallas,Dallas,226.0,7.3,3,545.0,7.6,7.7,8.1,7.8,7.7,7.5,7.9,7.0,6.0,8.0,4.0,2,False
Residence Inn by Marriott Dallas at The Canyon,Dallas,601.0,9.1,3,83.0,9.4,9.3,9.2,9.4,9.1,9.2,8.8,6.0,5.0,9.0,7.0,1,True
Comfort Suites West Dallas-Cockrell Hill,Dallas,367.0,7.8,3,210.0,8.3,8.1,8.4,8.3,7.9,8.1,7.1,8.0,6.0,10.0,4.0,2,False
"Motel 6-Dallas, TX - Northwest",Dallas,213.0,7.1,2,387.0,7.6,7.6,7.9,7.7,7.8,7.4,8.2,10.0,2.9,3.7,4.0,1,True
Comfort Inn & Suites Dallas Medical-Market Center,Dallas,321.0,7.1,3,402.0,8.0,7.8,8.1,7.8,7.6,7.3,9.0,5.0,1.0,4.1,6.0,1,False
