Name,City,Price,Rating,Stars,Reviews,Location,Cleanliness,staff,Comfort,Value for Money,Facilities,Wifi,Closest attraction dist,Closest transportation,Closest airport,payment methods,Number of languages,Allowing pets
Hyatt Regency Houston,Houston,752.0,8.5,4,960.0,9.1,9.0,8.9,9.0,8.3,8.7,8.1,1.1,0.35,15.0,7,1,True
Marriott Marquis Houston,Houston,1164.0,8.4,4,1094.0,9.1,8.9,8.6,8.9,7.8,8.8,6.6,1.5,0.05,14.0,7,1,False
"Holiday Inn Express & Suites - Houston - N Downtown, an IHG ",Houston,431.0,8.8,3,74.0,8.3,9.1,9.0,9.2,9.0,9.1,6.3,3.1,0.8,18.0,6,4,False
"Holiday Inn Houston Downtown, an IHG ",Houston,615.0,8.5,3,1205.0,8.9,8.9,8.9,8.9,8.3,8.6,8.7,1.4,0.15,15.0,5,2,False
" ICON, Autograph Collection",Houston,924.0,8.6,4,518.0,9.0,8.9,9.1,8.9,8.1,8.8,8.1,1.7,0.05,15.0,7,4,True
"Hilton Garden Inn Houston Medical Center, TX",Houston,586.0,8.9,3,192.0,9.1,9.3,9.0,9.2,8.7,9.1,7.5,2.2,1.5,12.0,8,1,True
"Staybridge Suites - Houston - Galleria Area, an IHG ",Houston,448.0,8.9,3,195.0,9.3,9.2,8.9,9.3,8.9,9.2,8.1,3.8,7.0,21.0,7,2,True
"Club Quarters  Downton, Houston",Houston,433.0,7.9,4,3678.0,9.0,8.2,8.7,8.3,8.0,8.0,8.5,1.5,0.1,15.0,4,1,True
Hilton Americas - Houston,Houston,829.0,8.9,4,808.0,9.4,9.1,9.1,9.2,8.4,9.1,7.92749140893471,2.1,0.4,14.0,7,10,False
" Indigo Houston at the Galleria, an IHG Hotel",Houston,522.0,8.3,3,404.0,9.1,8.8,8.9,8.8,8.4,8.5,8.7,3.6,7.0,21.0,7,1,True
The Post Oak ,Houston,1762.0,9.3,5,173.0,9.5,9.7,9.5,9.7,9.0,9.5,9.3,4.0,7.0,21.0,5,2,True
"Holiday Inn Express & Suites Houston SW - Medical Ctr Area, an IHG ",Houston,471.0,8.8,3,466.0,9.0,9.2,8.9,9.3,8.7,9.1,9.0,4.3,1.4,15.0,6,1,False
Cambria  Houston Downtown Convention Center,Houston,584.0,8.7,4,2115.0,9.2,9.2,9.0,9.3,8.7,8.9,8.8,1.2,0.2,15.0,6,1,False
The Whitehall Houston,Houston,838.0,8.1,4,489.0,9.0,8.6,9.0,8.6,8.0,8.2,7.5,1.4,0.5,15.0,7,2,True
"Holiday Inn Houston S - NRG Area - Med Ctr, an IHG ",Houston,615.0,7.4,4,632.0,8.9,7.8,8.1,7.9,7.4,7.6,7.2,4.0,0.7,14.0,7,2,False
Courtyard by Marriott Houston Medical Center/NRG Park,Houston,461.0,8.1,3,369.0,8.8,8.7,8.7,8.6,8.1,8.4,7.9,3.6,0.85,14.0,7,1,False
"Holiday Inn Express & Suites Houston South - Near Pearland, an IHG ",Houston,278.0,8.1,2,167.0,8.6,8.6,8.3,8.7,8.4,8.2,6.5,11.0,9.0,12.0,7,3,False
Courtyard by Marriott Houston Galleria,Houston,581.0,8.2,3,814.0,8.9,8.5,8.7,8.6,8.1,8.3,8.4,5.0,7.0,21.0,7,2,False
La Quinta by Wyndham Houston NW Beltway8/WestRD,Houston,313.0,8.8,3,384.0,8.9,9.0,9.1,9.1,8.9,9.0,8.8,0.015,0.019,23.0,4,2,True
La Quinta by Wyndham Houston Channelview,Houston,385.0,8.8,4,433.0,8.9,9.2,8.9,9.1,8.8,9.0,8.6,10.0,0.016,21.0,4,1,True
"Holiday Inn Express & Suites Houston Southwest Galleria Area, an IHG ",Houston,345.0,8.1,3,262.0,8.5,8.4,8.4,8.6,8.3,8.3,8.5,8.0,10.0,24.0,7,2,False
Days Inn & Suites by Wyndham Houston Hobby Airport,Houston,242.0,8.3,3,910.0,8.2,8.8,8.4,8.8,8.6,8.6,8.0,12.0,9.0,2.3,4,2,False
Hampton Inn Houston Downtown,Houston,566.0,8.5,3,658.0,9.2,8.9,8.9,8.9,8.3,8.6,8.1,1.3,0.15,15.0,7,2,True
"Holiday Inn Express & Suites Houston - Hobby Airport Area, an IHG ",Houston,277.0,7.5,3,319.0,8.1,8.0,8.2,8.2,7.8,8.0,7.7,11.0,9.0,2.6,7,1,False
"The Laura , Houston Downtown, Autograph Collection",Houston,862.0,8.5,5,492.0,8.9,8.9,8.9,9.0,8.3,8.8,8.4,1.4,0.15,15.0,5,2,True
"Holiday Inn Express & Suites - Houston IAH - Beltway 8, an IHG ",Houston,323.0,8.1,3,768.0,8.5,8.7,8.4,8.7,8.4,8.4,8.6,0.019,12.0,6.0,4,4,False
Hyatt Regency Houston Galleria,Houston,727.0,8.1,4,614.0,9.2,8.3,8.4,8.5,7.8,8.2,8.8,5.0,7.0,21.0,6,2,False
"Staybridge Suites Houston - IAH Airport, an IHG ",Houston,312.0,7.8,3,382.0,8.2,8.2,8.3,8.3,8.1,8.0,7.6,0.019,12.0,6.0,7,2,True
The Westin Oaks Houston at the Galleria,Houston,863.0,8.5,4,437.0,9.4,8.9,8.7,9.0,8.1,8.6,7.92749140893471,4.5,7.0,21.0,7,2,True
Blossom  Houston,Houston,646.0,9.3,4,808.0,9.1,9.6,9.4,9.6,9.2,9.5,9.0,2.6,0.55,13.0,5,4,True
"Holiday Inn Houston Intercontinental Airport, an IHG ",Houston,322.0,8.1,3,523.0,8.8,8.6,8.6,8.6,8.3,8.3,8.6,0.02,13.0,5.0,7,2,False
Embassy Suites Houston - Downtown,Houston,756.0,8.2,4,704.0,8.9,8.5,8.8,8.6,7.9,8.4,6.3,1.9,0.45,15.0,6,2,True
Residence Inn by Marriott Houston West/Beltway 8 at Clay Road,Houston,477.0,8.7,3,77.0,9.0,9.1,9.0,9.1,8.6,8.9,7.92749140893471,12.0,0.017,27.0,5,1,True
"Holiday Inn  Houston Westchase, an IHG Hotel",Houston,277.0,7.9,3,1151.0,8.5,8.3,8.6,8.3,8.0,8.1,8.7,12.0,0.015,29.0,7,2,False
AC  by Marriott Houston Downtown,Houston,631.0,8.5,4,1012.0,8.8,9.0,8.7,9.1,8.6,8.8,8.8,1.5,0.03,15.0,6,1,False
Wyndham Houston near NRG Park - Medical Center,Houston,513.0,6.5,4,625.0,8.3,7.3,7.9,7.4,7.1,6.7,7.3,5.0,0.65,14.0,7,4,True
 Zaza Houston Museum District,Houston,1061.0,8.3,4,377.0,9.2,8.7,8.8,8.8,7.7,8.5,8.9,1.0,0.05,14.0,4,2,True
Comfort Suites near Texas Medical Center - NRG Stadium,Houston,364.0,8.2,3,258.0,8.9,8.7,8.4,8.7,8.2,8.3,7.1,3.5,1.1,14.0,7,2,False
"C. Baldwin, Curio Collection by Hilton",Houston,727.0,8.1,5,510.0,8.8,8.8,8.6,8.8,8.0,8.6,7.92749140893471,1.3,0.4,16.0,10,2,True
Residence Inn Houston Downtown/Convention Center,Houston,522.0,7.9,3,239.0,8.7,8.5,8.6,8.5,8.0,8.2,8.8,1.3,0.15,15.0,5,1,True
"Home2 Suites by Hilton Houston Medical Center, TX",Houston,510.0,9.1,3,133.0,9.3,9.2,9.5,9.2,9.0,9.3,9.4,2.2,1.4,12.0,8,1,True
Homewood Suites by Hilton Houston Near the Galleria,Houston,471.0,8.0,4,1635.0,9.2,8.3,8.4,8.4,8.1,8.0,8.5,5.0,7.0,21.0,6,2,True
DoubleTree by Hilton  Houston Greenway Plaza,Houston,344.0,7.4,4,667.0,8.2,8.0,8.3,8.1,7.4,7.7,8.4,3.4,3.9,18.0,7,1,False
Sleep Inn and Suites Downtown Houston,Houston,390.0,7.3,2,276.0,8.0,8.1,7.7,8.3,7.8,8.0,8.4,3.5,0.9,19.0,4,2,False
Courtyard Houston Downtown Convention Center,Houston,1371.0,7.4,3,190.0,8.4,8.1,8.1,8.1,7.4,7.6,6.9,1.3,0.15,15.0,5,2,False
Courtyard Houston-West University,Houston,495.0,8.2,3,70.0,8.9,8.6,8.9,8.8,8.3,8.6,8.8,3.3,3.1,17.0,6,1,False
"Holiday Inn Express  and Suites Houston East, an IHG Hotel",Houston,383.0,8.7,2,152.0,8.8,8.8,9.1,9.0,8.9,8.8,7.5,12.0,8.0,15.0,3,1,False
The Royal Sonesta Houston Galleria,Houston,639.0,8.2,4,1518.0,9.1,8.6,8.9,8.7,8.0,8.4,8.2,3.9,7.0,21.0,9,6,True
"Holiday Inn Express & Suites Memorial – CityCentre, an IHG ",Houston,581.0,8.7,3,843.0,8.9,9.1,9.0,9.1,8.8,9.0,8.4,11.0,0.017,31.0,5,2,False
