Name,City,Price,Rating,Stars,Reviews,Location,Cleanliness,staff,Comfort,Value for Money,Facilities,Wifi,Closest attraction dist,Closest transportation,Closest airport,payment methods,Number of languages,Allowing pets
Polo Towers,Las-Vegas,192.0,8.4,3,2279.0,9.0,8.8,8.6,8.8,8.5,8.5,8.4,8.0,0.5,3.3,5.0,1.0,False
Plaza  & Casino,Las-Vegas,172.0,7.3,4,4070.0,8.3,7.6,7.7,7.6,7.5,7.4,7.7,7.0,3.4,6.0,4.0,4.0,False
The Platinum ,Las-Vegas,522.0,8.5,4,2290.0,8.7,8.8,8.8,8.9,8.5,8.7,8.6,3.1,0.45,3.8,5.0,2.0,True
The Westin Las Vegas  & Spa,Las-Vegas,684.0,8.0,4,837.0,8.6,8.6,8.5,8.7,7.8,8.4,7.8,3.0,0.3,3.9,7.0,1.0,True
Circa Resort & Casino - Adults Only,Las-Vegas,546.0,8.8,4,2058.0,9.0,9.4,8.9,9.4,8.5,9.3,7.8,7.0,3.5,6.0,4.0,1.0,False
Vdara  & Spa at ARIA Las Vegas,Las-Vegas,453.0,8.4,5,2000.0,8.9,8.8,8.6,8.9,8.2,8.6,7.979807692307691,8.0,1.0,3.9,7.0,2.0,True
JW Marriott Las Vegas Resort and Spa,Las-Vegas,787.0,8.4,4,249.0,8.8,8.8,8.8,8.9,8.1,8.5,7.9,13.0,13.0,10.0,7.0,1.0,False
The Signature at MGM Grand - All Suites,Las-Vegas,336.0,8.5,4,1617.0,8.6,9.0,8.6,9.0,8.4,8.7,7.979807692307691,8.0,0.5,3.2,7.0,3.0,False
"Holiday Inn Express & Suites - Las Vegas - E Tropicana, an IHG ",Las-Vegas,551.0,8.5,3,679.0,8.7,8.9,8.6,8.9,8.4,8.8,8.6,9.0,0.4,2.4,7.0,1.0,False
Ellis Island  Casino & Brewery,Las-Vegas,203.0,7.9,3,7389.0,8.4,8.2,8.3,8.2,8.2,7.8,7.8,7.0,0.35,3.6,6.0,2.0,False
"Holiday Inn Express & Suites Las Vegas SW Springvalley, an IHG ",Las-Vegas,617.0,8.5,3,136.0,8.3,8.8,8.8,8.7,8.2,8.4,7.979807692307691,6.0,6.0,8.0,7.0,2.0,False
Hyatt Place Las Vegas at Silverton Village,Las-Vegas,941.0,9.0,3,356.0,9.0,9.3,9.1,9.3,8.8,9.3,8.8,8.0,6.0,5.0,4.0,1.0,True
"Hampton Inn Las Vegas Strip South, NV 89123",Las-Vegas,439.0,9.3,2,576.0,8.8,9.6,9.5,9.5,9.0,9.5,8.8,7.0,5.0,4.4,8.0,2.0,True
NoMad Las Vegas,Las-Vegas,493.0,8.8,5,180.0,9.3,9.3,8.8,9.4,8.5,9.0,7.979807692307691,8.0,0.5,3.2,4.0,4.0,True
Hyatt Place Las Vegas,Las-Vegas,492.0,8.4,3,1292.0,8.4,8.7,9.1,8.7,8.5,8.5,8.5,3.0,1.6,2.8,9.0,2.0,True
