Name,City,Price,Rating,Stars,Reviews,Location,Cleanliness,staff,Comfort,Value for Money,Facilities,Wifi,Closest attraction dist,Closest transportation,Closest airport,payment methods,Number of languages,Allowing pets
Ace  Downtown Los Angeles,Los-Angeles,855.0,7.7,4,665.0,8.2,8.2,8.4,8.3,7.1,7.9,8.0,1.6,0.8,15.0,3.0,4.0,True
citizenM Los Angeles Downtown,Los-Angeles,615.0,8.8,4,2176.0,8.3,9.2,9.3,9.1,8.4,9.1,8.9,1.2,0.35,16.0,6.0,1.0,False
The Adler a Hollywood ,Los-Angeles,908.0,7.8,3,2000.0,8.6,8.1,8.6,8.1,7.7,7.7,8.5,2.6,0.5,11.0,7.0,4.0,False
Hollywood Historic ,Los-Angeles,602.0,8.0,3,1760.0,8.2,8.4,9.0,8.4,8.1,7.9,8.1,3.4,2.1,14.0,3.0,3.0,False
Hilton Los Angeles-Universal City,Los-Angeles,1242.0,8.2,4,2611.0,9.4,8.5,8.6,8.6,7.5,8.4,7.9,4.3,0.45,7.0,7.0,7.0,True
Park Plaza Lodge,Los-Angeles,670.0,8.6,3,1095.0,9.2,8.9,9.4,9.0,8.4,8.4,9.4,3.7,3.7,11.0,5.0,1.0,False
The London West Hollywood at Beverly Hills,Los-Angeles,1577.0,8.9,5,381.0,9.3,9.3,9.3,9.4,8.4,9.1,9.2,3.2,4.4,10.0,3.0,2.0,True
"InterContinental - Los Angeles Downtown, an IHG ",Los-Angeles,1233.0,8.7,4,2659.0,9.1,9.1,8.9,9.1,8.4,9.0,8.7,1.5,0.2,16.0,7.0,1.0,True
"Holiday Inn Los Angeles - LAX Airport, an IHG ",Los-Angeles,548.0,7.4,3,4589.0,8.0,7.9,8.0,8.0,7.4,7.6,8.1,11.0,14.0,3.7,6.0,2.0,False
 Aventura,Los-Angeles,606.0,8.4,3,983.0,8.2,8.8,8.8,8.7,8.3,8.5,8.4,3.2,1.1,15.0,3.0,2.0,False
Omni Los Angeles  California Plaza,Los-Angeles,890.0,8.5,4,1121.0,8.8,9.0,9.1,9.1,8.1,8.8,8.077990430622005,1.2,0.4,17.0,8.0,3.0,True
