Name,City,Price,Rating,Stars,Reviews,Location,Cleanliness,staff,Comfort,Value for Money,Facilities,Wifi,Closest attraction dist,Closest transportation,Closest airport,payment methods,Number of languages,Allowing pets
citizenM Miami Brickell,Miami,649.0,8.7,4,512.0,9.6,9.0,9.1,9.1,8.5,8.9,9.1,1.8,0.1,2.6,6.0,1,False
Sheraton Miami Airport  and Executive Meeting Center,Miami,538.0,7.3,4,2032.0,8.6,7.8,8.0,7.9,7.1,7.4,8.3,7.0,0.2,2.9,6.0,3,True
YOTEL Miami,Miami,615.0,8.1,4,822.0,8.9,8.6,8.6,8.6,7.7,8.3,9.4,1.8,0.1,1.5,9.0,2,True
EAST Miami,Miami,1714.0,8.5,5,3772.0,9.4,8.9,8.4,9.0,8.1,8.9,8.7,2.6,10.0,2.4,5.0,12,True
"Candlewood Suites Miami Intl Airport - 36th St, an IHG ",Miami,464.0,8.8,3,1065.0,8.6,9.1,8.9,9.1,8.5,9.0,8.7,8.0,2.3,1.5,7.0,4,True
" Indigo - Miami Brickell, an IHG Hotel",Miami,714.0,8.0,4,850.0,8.8,8.7,8.4,8.7,7.7,8.3,8.1,2.0,0.15,3.0,6.0,2,True
Hilton Garden Inn Miami Dolphin Mall,Miami,489.0,8.6,3,3284.0,9.0,9.0,8.5,9.0,8.4,8.8,7.9,13.0,8.0,9.0,5.0,2,False
Loews Coral Gables ,Miami,855.0,9.3,4,14.0,9.5,9.8,9.6,9.8,8.2,9.8,8.008088235294116,4.7,1.4,7.0,5.0,1,True
"InterContinental Miami, an IHG ",Miami,1371.0,8.3,5,1421.0,9.3,8.7,8.7,8.8,7.6,8.5,8.6,1.8,0.15,1.5,3.0,5,True
Selina Miami River,Miami,340.0,7.5,3,837.0,7.7,7.8,8.6,7.7,7.3,7.6,8.2,3.1,0.7,2.8,2.0,2,True
Homewood Suites by Hilton Miami Dolphin Mall,Miami,584.0,8.5,3,1038.0,9.1,8.9,8.3,8.9,8.3,8.8,8.3,13.0,8.0,9.0,6.0,2,False
Sonesta Miami Airport,Miami,467.0,8.1,4,767.0,8.7,8.5,8.4,8.6,7.9,8.3,8.5,7.0,1.8,2.9,9.0,4,True
Hampton Inn & Suites by Hilton Miami Downtown/Brickell,Miami,730.0,8.6,4,4415.0,9.3,8.9,8.9,9.0,8.3,8.7,8.6,2.1,0.1,2.9,7.0,3,False
Hilton Miami Downtown,Miami,637.0,8.0,4,2275.0,8.7,8.4,8.5,8.4,7.8,8.2,7.5,2.0,0.2,1.5,6.0,10,False
"Holiday Inn Miami International Airport, an IHG ",Miami,430.0,7.5,3,3290.0,8.2,8.0,8.2,8.0,7.5,7.6,8.2,7.0,1.4,2.9,7.0,3,False
Novotel Miami Brickell,Miami,522.0,8.0,4,918.0,8.5,8.5,8.3,8.6,7.8,8.4,8.3,2.3,0.35,3.3,3.0,3,False
Mayfair House  & Garden,Miami,1060.0,8.5,5,45.0,9.4,9.2,8.8,8.7,8.2,8.9,7.5,7.0,1.3,9.0,9.0,2,True
Comfort Inn & Suites Miami International Airport,Miami,399.0,8.0,3,4118.0,8.4,8.3,8.3,8.4,8.0,8.2,7.7,7.0,1.6,2.0,6.0,1,False
DoubleTree by Hilton Grand  Biscayne Bay,Miami,838.0,7.5,3,779.0,8.8,8.0,8.1,8.0,7.4,7.8,8.008088235294116,2.4,0.3,1.4,8.0,2,False
"Hampton Inn & Suites Miami Wynwood Design District, FL",Miami,610.0,8.5,4,1265.0,8.9,8.9,8.9,8.9,8.3,8.8,8.0,4.0,2.3,3.2,7.0,2,True
Four Seasons  Miami,Miami,2473.0,9.0,5,220.0,9.3,9.4,9.1,9.5,8.5,9.2,7.9,2.4,0.15,3.1,6.0,8,True
 Ponce de Leon,Miami,417.0,7.9,2,1319.0,8.9,8.3,8.3,8.2,8.1,7.7,8.3,5.0,2.7,5.0,4.0,2,False
Sonesta Simply Suites Miami Airport Doral,Miami,684.0,8.4,2,786.0,8.5,8.6,8.8,8.6,8.3,8.4,8.6,6.0,5.0,5.0,9.0,2,True
"Staybridge Suites - Miami International Airport, an IHG ",Miami,584.0,8.1,3,1311.0,8.3,8.5,8.4,8.6,8.1,8.4,8.5,6.0,0.35,3.4,7.0,5,True
"The Gabriel Miami Downtown, Curio Collection by Hilton",Miami,746.0,7.1,5,204.0,8.7,8.1,8.0,8.2,7.0,7.6,8.7,1.6,0.1,1.3,5.0,3,True
EB  Miami Airport,Miami,676.0,8.9,4,982.0,8.9,9.3,8.9,9.4,8.6,9.2,8.6,7.0,1.5,2.7,4.0,4,False
SpringHill Suites by Marriott Miami Doral,Miami,512.0,8.3,3,1203.0,8.8,8.6,8.5,8.7,8.3,8.6,8.5,6.0,6.0,8.0,6.0,2,False
