Name,City,Price,Rating,Stars,Reviews,Location,Cleanliness,staff,Comfort,Value for Money,Facilities,Wifi,Closest attraction dist,Closest transportation,Closest airport,payment methods,Number of languages,Allowing pets
NOPSI  New Orleans,New-Orleans,558.0,8.7,5,1087.0,9.3,9.2,9.0,9.2,8.5,9.0,8.8,1.1,0.8,11.0,6.0,2,True
Pontchartrain  St. Charles Avenue,New-Orleans,649.0,8.8,4,198.0,9.2,9.2,9.3,9.1,8.3,8.6,8.4,2.2,1.4,13.0,4.0,2,True
The Mercantile ,New-Orleans,522.0,8.5,3,1330.0,9.1,8.8,8.8,8.8,8.6,8.6,8.5,0.9,1.3,11.0,4.0,1,False
 St. Marie,New-Orleans,546.0,8.8,3,519.0,9.5,9.0,9.0,9.1,8.5,8.8,8.4,0.6,0.75,10.0,4.0,1,False
International House ,New-Orleans,453.0,8.2,4,525.0,9.2,8.6,9.2,8.7,8.0,8.3,7.8,0.95,1.1,11.0,4.0,1,False
"Astor Crowne Plaza New Orleans French Quarter, Corner of Bourbon and Canal",New-Orleans,581.0,7.6,4,2130.0,9.0,8.0,8.3,8.1,7.6,7.8,8.160360360360357,0.7,1.2,11.0,7.0,1,False
Place D'Armes ,New-Orleans,477.0,8.8,3,453.0,9.8,8.9,9.3,9.0,8.7,8.7,9.6,0.6,0.45,10.0,3.0,1,False
"Holiday Inn Express New Orleans - St Charles, an IHG ",New-Orleans,321.0,7.6,3,886.0,8.4,8.1,8.4,8.2,7.7,7.8,8.5,1.1,0.75,12.0,7.0,2,False
"Holiday Inn Club Vacations New Orleans Resort, an IHG ",New-Orleans,553.0,8.5,3,66.0,9.3,9.1,9.3,8.9,8.7,8.8,7.5,0.95,0.95,11.0,4.0,1,False
Dauphine Orleans ,New-Orleans,522.0,8.2,3,308.0,9.5,8.3,9.1,8.4,7.8,8.0,8.6,0.65,0.95,10.0,4.0,1,False
French Market Inn,New-Orleans,443.0,8.5,3,617.0,9.6,8.6,9.2,8.7,8.5,8.4,8.2,0.65,0.7,10.0,3.0,1,False
The Jung  and Residences,New-Orleans,464.0,8.5,3,1597.0,8.7,8.9,8.5,9.0,8.5,8.6,8.8,1.5,1.2,11.0,4.0,1,False
Prince Conti ,New-Orleans,512.0,8.6,3,397.0,9.6,8.9,9.1,8.9,8.6,8.6,9.1,0.65,0.95,10.0,4.0,1,False
"Holiday Inn Express New Orleans Downtown, an IHG ",New-Orleans,473.0,7.4,3,985.0,8.6,7.8,8.2,7.9,7.5,7.7,8.1,1.2,0.7,11.0,4.0,1,False
Pelham ,New-Orleans,519.0,8.1,3,1034.0,9.2,8.7,8.8,8.7,8.3,8.2,8.1,0.9,1.2,11.0,4.0,1,False
 Villa Convento,New-Orleans,533.0,8.3,3,698.0,9.5,8.4,9.4,8.4,8.6,8.1,8.9,0.7,0.25,10.0,6.0,1,False
