Name,City,Price,Rating,Stars,Reviews,Location,Cleanliness,staff,Comfort,Value for Money,Facilities,Wifi,Closest attraction dist,Closest transportation,Closest airport,payment methods,Number of languages,Allowing pets
Courtyard by Marriott New York Manhattan/Central Park,New-York,1183.0,8.2,4,3195.0,9.4,8.4,8.6,8.5,7.7,8.0,8.3,0.9,0.15,9.0,7.0,8,True
Residence Inn by Marriott New York Manhattan/Central Park,New-York,1183.0,8.4,4,1290.0,9.6,8.6,8.8,8.6,7.9,8.2,8.6,0.9,0.1,9.0,7.0,8,True
The Cloud One New York-Downtown,New-York,1072.0,8.1,4,375.0,9.1,8.7,8.4,8.7,7.5,7.9,7.6,1.6,0.2,14.0,4.0,2,True
Riu Plaza New York Times Square,New-York,1141.0,8.4,4,6302.0,9.4,8.8,8.7,8.8,8.3,8.6,8.6,1.4,0.3,10.0,6.0,2,False
MOXY NYC Times Square,New-York,902.0,8.0,4,9310.0,9.3,8.3,8.5,8.4,8.0,8.2,8.6,1.2,0.2,10.0,7.0,5,True
 Lucerne,New-York,870.0,8.5,4,1078.0,9.4,9.0,9.1,9.0,8.2,8.4,8.4,1.5,0.15,9.0,5.0,5,False
Grayson ,New-York,1245.0,8.2,4,31.0,9.5,8.8,8.9,8.6,7.3,8.6,10.0,0.9,0.25,10.0,5.0,3,True
M Social  Times Square New York,New-York,1245.0,8.4,4,5152.0,9.6,8.7,8.5,8.7,7.9,8.5,8.3,1.1,0.15,10.0,6.0,5,True
Wingate by Wyndham New York Midtown South/5th Ave,New-York,862.0,7.9,3,1510.0,9.2,8.4,8.6,8.4,7.9,8.0,8.4,1.1,0.35,10.0,6.0,2,False
Archer  New York,New-York,1245.0,8.8,4,737.0,9.5,9.0,9.3,9.1,8.3,8.7,9.1,0.95,0.3,10.0,4.0,1,True
Hyatt Place New York City/Times Square,New-York,1072.0,7.6,4,14432.0,8.7,7.9,8.2,8.0,7.6,7.6,8.4,1.1,0.35,10.0,4.0,2,False
citizenM New York Times Square,New-York,1210.0,8.7,4,2943.0,9.6,9.0,9.2,8.9,8.3,8.9,9.2,0.9,0.1,10.0,3.0,1,False
Times Square EDITION New York,New-York,1326.0,8.5,5,720.0,9.2,9.0,9.0,9.1,7.8,8.7,8.6,1.2,0.15,10.0,7.0,2,True
CIVILIAN ,New-York,852.0,8.5,4,1017.0,9.5,8.8,9.3,8.7,8.0,8.3,8.1,0.95,0.15,10.0,5.0,3,True
Hard Rock  New York,New-York,1488.0,8.8,5,1102.0,9.4,9.2,9.0,9.3,8.1,8.9,9.1,1.1,0.1,10.0,3.0,1,True
Arlo Midtown,New-York,918.0,8.7,4,2784.0,9.0,9.1,9.1,9.1,8.3,9.0,9.0,1.5,0.4,10.0,3.0,2,False
Hyatt Place NYC Chelsea,New-York,1068.0,7.9,4,5245.0,9.1,8.2,8.2,8.3,7.6,7.8,8.2,0.9,0.15,11.0,6.0,2,True
Hyatt House New York/Chelsea,New-York,985.0,8.1,3,529.0,9.1,8.5,8.6,8.6,7.7,8.1,9.0,1.3,0.2,10.0,7.0,2,False
 Belleclaire Central Park,New-York,970.0,8.0,4,2419.0,9.2,8.5,8.8,8.4,7.8,7.7,6.5,1.6,0.2,9.0,4.0,6,True
New York Hilton Midtown,New-York,1058.0,7.6,4,870.0,9.3,7.9,7.9,8.1,6.7,7.6,6.5,0.9,0.25,9.0,7.0,7,True
Doubletree By Hilton New York Times Square West,New-York,966.0,7.0,4,14469.0,8.4,7.5,7.7,7.5,7.3,7.1,7.2,1.2,0.3,10.0,7.0,6,True
TownePlace Suites by Marriott New York Manhattan/Times Square,New-York,746.0,8.2,3,1426.0,9.2,8.6,9.0,8.5,8.3,8.3,8.5,1.1,0.2,10.0,7.0,2,True
Embassy Suites By Hilton New York Manhattan Times Square,New-York,879.0,7.9,4,4073.0,9.3,8.0,8.6,8.1,7.8,8.0,7.6,1.1,0.3,10.0,5.0,2,True
The Pearl ,New-York,1144.0,8.6,4,920.0,9.6,9.0,9.2,9.0,8.0,8.5,9.1,0.9,0.15,10.0,5.0,2,False
Empire ,New-York,933.0,6.9,4,2533.0,9.2,7.3,8.0,7.3,6.5,6.6,7.2,0.7,0.2,9.0,9.0,6,True
"Club Quarters  Times Square, New York",New-York,867.0,7.8,4,2452.0,9.4,8.0,8.7,8.1,7.8,7.8,8.4,0.95,0.25,9.0,4.0,1,True
" Indigo - NYC Downtown - Wall Street, an IHG Hotel",New-York,794.0,8.2,4,438.0,8.8,8.8,8.8,8.7,8.0,8.2,7.7,0.8,0.25,14.0,7.0,1,True
NH Collection New York Madison Avenue,New-York,1157.0,8.2,4,1093.0,9.2,8.7,8.6,8.8,7.7,8.3,8.9,0.95,0.4,10.0,6.0,2,True
Margaritaville Resort Times Square,New-York,1007.0,8.7,4,1225.0,9.4,9.2,9.2,9.2,8.1,8.9,8.237620578778145,0.95,0.05,10.0,4.0,7,True
"Crowne Plaza Times Square, an IHG ",New-York,1150.0,7.8,4,1232.0,9.4,8.1,8.2,8.1,7.3,7.6,8.3,1.3,0.1,10.0,9.0,4,True
TownePlace Suites by Marriott New York Manhattan/Chelsea,New-York,1183.0,8.0,4,1828.0,9.2,8.6,8.8,8.6,7.8,8.2,7.6,1.1,0.1,11.0,5.0,2,True
Royalton New York,New-York,1027.0,7.6,4,1282.0,9.2,8.1,8.7,8.3,7.3,7.3,8.237620578778145,0.8,0.2,10.0,5.0,19,True
"InterContinental New York Barclay , an IHG Hotel",New-York,1280.0,8.1,5,922.0,9.1,8.7,8.2,8.7,7.6,8.2,8.3,1.3,0.25,9.0,4.0,4,True
Park Terrace ,New-York,1245.0,8.7,4,2585.0,9.7,9.1,9.2,9.2,8.2,8.7,9.1,0.8,0.15,10.0,4.0,1,True
Square  at Times Square,New-York,851.0,7.0,3,2409.0,9.3,7.3,8.3,7.4,7.0,6.8,8.0,0.9,0.1,10.0,9.0,5,False
Michelangelo ,New-York,1324.0,8.5,4,641.0,9.6,9.0,8.9,9.1,8.2,8.2,8.5,0.9,0.1,9.0,9.0,8,True
Refinery  - New York,New-York,1176.0,8.2,5,258.0,9.2,8.9,8.7,8.8,7.6,8.4,7.9,1.0,0.3,10.0,9.0,5,True
 Edison Times Square,New-York,1023.0,7.4,4,11361.0,9.4,7.8,8.0,7.9,7.3,7.3,8.237620578778145,1.3,0.25,10.0,6.0,4,False
"Club Quarters  Grand Central, New York",New-York,936.0,8.0,4,2190.0,9.2,8.2,8.6,8.4,7.9,7.9,9.0,1.0,0.25,9.0,4.0,2,True
Broadway Plaza ,New-York,839.0,8.4,3,506.0,9.2,8.9,9.3,8.9,8.5,8.4,8.2,1.4,0.1,10.0,7.0,3,False
TBA Times Square,New-York,798.0,7.4,3,7114.0,8.8,7.7,7.9,7.8,7.3,7.3,8.1,1.1,0.25,10.0,5.0,2,True
Hampton Inn Manhattan Chelsea,New-York,1000.0,7.8,3,1362.0,9.0,8.1,8.7,8.1,7.5,7.6,8.8,1.1,0.1,11.0,7.0,3,True
Fairfield Inn & Suites by Marriott New York Midtown Manhattan/Penn Station,New-York,1120.0,8.2,3,3679.0,9.4,8.7,8.8,8.7,8.2,8.2,8.6,1.2,0.25,11.0,6.0,2,False
The Kitano  New York,New-York,1020.0,8.5,4,482.0,9.4,9.1,9.1,9.1,8.0,8.4,7.5,1.0,0.35,10.0,6.0,4,False
New York Marriott Marquis,New-York,1731.0,8.2,5,1711.0,9.5,8.7,8.3,8.7,7.6,8.4,8.237620578778145,1.2,0.3,10.0,6.0,3,False
Pod Times Square,New-York,1557.0,8.1,4,12491.0,9.3,8.2,8.4,8.3,7.9,8.1,8.6,1.3,0.3,10.0,5.0,2,True
