Name,City,Price,Rating,Stars,Reviews,Location,Cleanliness,staff,Comfort,Value for Money,Facilities,Wifi,Closest attraction dist,Closest transportation,Closest airport,payment methods,Number of languages,Allowing pets
"Holiday Inn Orlando Intl Drive Conv Center, an IHG ",Orlando,399.0,10.0,3,3.0,10.0,10.0,10.0,10.0,10.0,10.0,8.074122807017542,11.0,10.0,17.0,7,5,False
"Holiday Inn Express & Suites Orlando- Lake Buena Vista, an IHG ",Orlando,374.0,8.8,3,1609.0,9.3,9.2,8.9,9.3,8.9,9.1,9.0,11.0,10.0,19.0,5,2,False
"Wyndham Orlando Resort & Conference Center, Celebration Area",Orlando,188.0,7.7,3,2163.0,8.6,8.2,8.3,8.1,7.9,8.0,7.5,14.0,13.0,29.0,5,4,True
Rosen Inn Closest to Universal,Orlando,275.0,8.0,3,6143.0,9.1,8.2,8.2,8.2,8.4,8.0,7.2,9.0,10.0,17.0,6,2,True
"Candlewood Suites - Orlando - Lake Buena Vista, an IHG ",Orlando,461.0,9.0,3,2416.0,9.4,9.2,9.2,9.3,9.1,9.2,9.0,11.0,11.0,20.0,6,4,True
SpringHill Suites by Marriott Orlando at FLAMINGO CROSSINGS Town Center-Western Entrance,Orlando,477.0,8.8,3,1553.0,9.3,8.9,9.0,9.0,8.9,9.0,8.9,0.016,0.019,31.0,7,2,False
TownePlace Suites Orlando at FLAMINGO CROSSINGS® Town Center/Western Entrance,Orlando,512.0,8.8,3,1048.0,9.3,8.9,9.1,8.9,8.9,9.0,8.7,0.016,0.019,31.0,7,7,True
Rosen Inn Lake Buena Vista,Orlando,276.0,7.7,3,3965.0,9.0,7.9,8.4,7.9,8.3,7.8,7.1,10.0,10.0,19.0,6,2,True
Embassy Suites by Hilton Orlando International Drive Convention Center,Orlando,619.0,8.4,3,2023.0,9.4,8.6,9.0,8.6,8.5,8.6,8.074122807017542,12.0,11.0,17.0,7,3,False
Homewood Suites by Hilton Lake Buena Vista - Orlando,Orlando,684.0,8.5,3,337.0,9.2,8.8,8.9,8.8,8.6,8.7,8.3,11.0,10.0,19.0,7,2,False
Hyatt Place Orlando Airport,Orlando,567.0,8.2,3,388.0,8.9,8.6,8.8,8.6,8.2,8.3,8.2,11.0,5.0,5.0,7,2,True
"Country Inn & Suites by Radisson, Orlando Airport, FL",Orlando,417.0,7.6,3,3202.0,8.8,7.9,8.3,8.0,7.9,7.6,7.9,11.0,5.0,4.9,7,2,False
Galleria Palms Orlando,Orlando,336.0,8.3,3,2086.0,9.0,8.5,9.1,8.5,8.6,8.3,8.6,14.0,13.0,29.0,8,3,False
La Quinta by Wyndham Orlando Universal area,Orlando,340.0,7.7,3,4995.0,8.9,7.9,8.5,7.9,8.1,7.7,8.3,7.0,9.0,14.0,4,4,True
 Monreale Express International Drive Orlando,Orlando,292.0,7.6,3,3742.0,9.0,7.5,8.5,7.6,8.1,7.6,8.6,9.0,10.0,16.0,4,3,False
Monumental  Orlando,Orlando,306.0,6.7,3,446.0,8.3,7.2,8.0,7.4,7.5,6.7,8.074122807017542,10.0,8.0,17.0,5,3,False
The EO Inn - Downtown Orlando,Orlando,581.0,7.6,3,326.0,9.2,7.9,8.6,7.9,7.8,7.6,6.5,2.8,1.2,3.8,3,1,False
Marriott Orlando Downtown,Orlando,821.0,7.9,3,1117.0,8.6,8.6,8.5,8.5,7.8,8.4,8.074122807017542,1.8,0.4,5.0,6,2,False
"Hilton Garden Inn Winter Park, FL",Orlando,684.0,8.7,3,172.0,9.1,9.2,9.1,9.3,8.1,9.1,10.0,2.1,1.8,8.0,6,1,False
"Holiday Inn Express & Suites Orlando International Airport, an IHG ",Orlando,492.0,8.5,2,596.0,8.8,8.8,9.0,8.9,8.5,8.6,8.6,9.0,3.3,4.8,3,2,False
Ramada by Wyndham Suites Orlando Airport,Orlando,476.0,7.9,3,3897.0,8.8,8.3,8.3,8.4,8.2,8.0,8.4,9.0,6.0,4.4,4,2,False
The Florida  & Conference Center in the Florida Mall,Orlando,614.0,8.6,4,1820.0,9.2,8.9,8.8,8.9,8.4,8.8,8.074122807017542,9.0,3.0,9.0,7,7,True
"Holiday Inn Express & Suites - Orlando - Lake Nona Area, an IHG ",Orlando,496.0,8.8,3,632.0,9.2,9.1,9.1,9.2,8.5,9.0,8.7,0.017,13.0,7.0,7,1,False
Wyndham Garden Lake Buena Vista Disney Springs® Resort Area,Orlando,404.0,7.7,4,3095.0,9.3,8.2,8.4,8.3,7.8,7.9,8.2,10.0,11.0,21.0,5,3,False
"Holiday Inn Express-International Drive, an IHG ",Orlando,454.0,8.3,3,1995.0,9.0,8.7,8.7,8.7,8.5,8.4,8.3,10.0,10.0,17.0,4,6,False
Hyatt Place across from Universal Orlando Resort,Orlando,581.0,7.9,3,880.0,9.1,8.2,8.8,8.3,8.0,7.9,8.2,8.0,9.0,15.0,7,2,True
"Home2 Suites by Hilton Orlando Downtown, FL",Orlando,406.0,8.6,3,421.0,9.0,9.1,8.7,9.2,8.4,8.8,8.3,2.7,0.4,4.5,8,1,True
SpringHill Suites by Marriott Winter Park,Orlando,855.0,8.9,3,75.0,9.2,9.5,9.4,9.4,8.6,9.4,7.5,2.0,1.9,8.0,5,1,False
Wingate By Wyndham - Orlando International Airport,Orlando,532.0,8.4,3,1755.0,9.1,8.8,8.8,8.8,8.6,8.5,8.8,9.0,6.0,5.0,5,2,False
Marriott Orlando Airport Lakeside,Orlando,752.0,8.4,4,705.0,9.1,8.9,8.8,8.9,8.0,8.6,8.074122807017542,10.0,6.0,4.4,7,2,False
TownePlace Suites by Marriott Orlando Theme Parks/Lake Buena Vista,Orlando,581.0,8.7,3,364.0,9.3,9.0,8.8,9.0,8.8,9.0,8.4,11.0,10.0,19.0,5,2,True
DoubleTree by Hilton at the Entrance to Universal Orlando,Orlando,532.0,8.1,4,5473.0,9.2,8.4,8.7,8.5,8.2,8.4,8.5,8.0,9.0,15.0,7,2,True
"Staybridge Suites Orlando South, an IHG ",Orlando,683.0,8.7,3,772.0,9.2,8.9,9.0,9.0,8.8,8.8,8.4,9.0,6.0,4.5,3,2,True
"Homewood Suites By Hilton Orlando Flamingo Crossings, Fl",Orlando,464.0,9.2,3,1385.0,9.2,9.3,9.2,9.4,9.1,9.4,9.3,0.016,0.019,31.0,8,2,True
ette luxury hotel & spa,Orlando,1295.0,9.5,5,114.0,9.0,9.8,9.8,9.8,9.4,9.7,9.6,14.0,14.0,29.0,4,2,False
La Quinta Inn by Wyndham Orlando International Drive North,Orlando,399.0,7.4,3,6441.0,9.0,7.6,8.4,7.6,7.9,7.4,7.9,9.0,9.0,16.0,5,3,True
Hyatt Place Orlando/Lake Buena Vista,Orlando,1020.0,8.2,3,1135.0,9.2,8.5,8.7,8.6,8.3,8.2,8.4,10.0,11.0,20.0,6,3,True
Wingate by Wyndham - Universal Studios and Convention Center,Orlando,464.0,8.4,3,776.0,9.2,8.7,9.0,8.8,8.5,8.5,8.8,7.0,9.0,14.0,4,2,False
"Staybridge Suites - Orlando Royale Parc Suites, an IHG ",Orlando,429.0,8.0,3,3460.0,8.9,8.0,8.7,8.1,8.2,7.9,8.5,8.0,9.0,23.0,7,3,True
"Holiday Inn Express & Suites - Nearest Universal Orlando, an IHG ",Orlando,388.0,7.8,3,553.0,9.0,8.1,8.5,8.2,8.0,7.9,9.1,7.0,9.0,14.0,3,3,True
Hilton Garden Inn Orlando Downtown,Orlando,424.0,8.0,3,328.0,8.6,8.9,8.4,8.9,7.8,8.5,8.3,2.7,0.4,4.5,8,1,False
The Point  & Suites Universal,Orlando,512.0,8.3,3,3167.0,9.1,8.5,8.6,8.5,8.5,8.5,8.6,9.0,9.0,16.0,3,1,False
La Quinta by Wyndham Orlando Airport North,Orlando,356.0,7.7,3,1474.0,8.8,8.0,8.5,8.2,7.9,7.9,8.3,11.0,5.0,4.8,9,2,True
Sheraton Suites Orlando Airport ,Orlando,821.0,7.9,3,667.0,8.8,8.4,8.5,8.4,7.9,8.2,8.074122807017542,9.0,6.0,4.4,6,2,True
