Name,City,Price,Rating,Stars,Reviews,Location,Cleanliness,staff,Comfort,Value for Money,Facilities,Wifi,Closest attraction dist,Closest transportation,Closest airport,payment methods,Number of languages,Allowing pets
"Holiday Inn Express & Suites - Phoenix - Airport North, an IHG ",Phoenix,519.0,9.0,3,552.0,9.0,9.3,9.0,9.3,8.8,9.2,8.7,7.0,0.95,3.3,7,1.0,False
SureStay  by Best Western Phoenix Airport,Phoenix,1233.0,7.2,3,3880.0,6.9,7.9,7.9,7.9,7.8,7.5,8.0,6.0,1.4,1.9,5,1.0,True
Found Re Phoenix,Phoenix,752.0,8.4,4,640.0,8.9,9.0,8.5,8.9,8.1,8.8,8.8,1.5,0.1,7.0,8,2.0,True
Best Western InnSuites Phoenix  & Suites,Phoenix,326.0,8.0,3,422.0,8.4,8.5,8.8,8.5,8.0,8.1,8.5,10.0,4.9,14.0,7,2.0,True
"Holiday Inn Phoenix Airport, an IHG ",Phoenix,409.0,7.4,3,284.0,8.4,7.8,8.3,7.9,7.5,7.7,5.8,4.8,3.3,3.5,4,4.0,False
"Crowne Plaza Phoenix Airport, an IHG ",Phoenix,535.0,8.0,3,1107.0,8.7,8.6,8.7,8.6,8.0,8.2,8.0,7.0,0.05,2.7,6,3.0,True
"Holiday Inn Express & Suites - Phoenix North - Scottsdale, an IHG ",Phoenix,409.0,8.3,3,327.0,8.8,8.9,8.6,8.9,8.2,8.6,7.8,0.017,0.016,9.0,7,2.0,False
The Hermosa Inn,Phoenix,821.0,9.2,4,44.0,9.5,9.6,9.7,9.7,8.2,9.1,7.846590909090906,8.0,8.0,9.0,6,2.0,True
Hampton Inn & Suites Phoenix Downtown,Phoenix,458.0,8.6,3,688.0,9.0,9.2,9.0,9.1,8.5,8.9,7.8,1.8,0.35,6.0,9,1.0,True
DoubleTree Suites by Hilton Phoenix,Phoenix,426.0,7.7,3,1260.0,8.3,8.2,8.3,8.2,7.9,7.9,8.3,7.0,0.45,2.9,7,2.0,False
"Holiday Inn and Suites Phoenix Airport North, an IHG ",Phoenix,502.0,8.5,3,477.0,8.6,8.8,8.6,8.8,8.5,8.7,8.6,8.0,1.8,4.0,7,2.0,False
"Holiday Inn Express Phoenix-Airport/University Drive, an IHG ",Phoenix,383.0,8.0,3,616.0,8.6,8.5,8.6,8.5,8.0,8.1,7.1,7.0,3.6,2.1,5,2.0,False
"Staybridge Suites - Phoenix – Biltmore Area, an IHG ",Phoenix,584.0,8.7,3,394.0,8.6,9.1,8.7,9.1,8.6,9.0,7.846590909090906,4.2,3.9,6.0,7,3.0,True
"Home2 Suites By Hilton Phoenix Airport North, Az",Phoenix,370.0,9.0,3,499.0,9.0,9.2,9.3,9.1,8.9,9.1,8.3,7.0,1.1,3.4,8,2.0,True
La Quinta by Wyndham Phoenix Chandler,Phoenix,399.0,8.0,3,785.0,8.6,8.3,8.6,8.3,8.1,8.2,8.0,9.0,5.0,15.0,9,2.0,True
Hilton Garden Inn Phoenix Airport North,Phoenix,436.0,8.2,3,1034.0,8.6,8.7,8.7,8.7,8.1,8.4,8.4,6.0,0.45,2.3,7,2.0,True
Hampton Inn Phoenix Midtown Downtown Area,Phoenix,576.0,7.8,3,119.0,8.5,8.2,8.8,8.3,7.8,8.0,7.846590909090906,3.6,2.6,8.0,9,2.0,True
La Quinta by Wyndham Phoenix I-10 West,Phoenix,430.0,7.8,3,528.0,7.2,8.3,8.5,8.3,7.8,8.0,7.1,9.0,6.0,15.0,4,1.0,True
Fairfield Inn & Suites by Marriott Phoenix West/Tolleson,Phoenix,420.0,8.8,3,647.0,8.9,9.1,9.1,9.2,8.6,9.1,8.8,0.015,11.0,12.0,6,1.0,False
Hampton Inn Phoenix Airport North,Phoenix,403.0,8.2,2,968.0,8.7,8.7,8.8,8.7,8.3,8.5,7.6,8.0,0.75,3.3,7,1.0,False
Aloft Phoenix Airport,Phoenix,454.0,8.1,3,326.0,8.3,8.5,8.7,8.6,8.1,8.3,8.2,7.0,0.2,2.8,7,1.0,True
Baymont by Wyndham Phoenix I-10 near 51st Ave,Phoenix,289.0,7.3,2,1337.0,7.1,7.7,8.1,7.7,7.4,7.5,7.6,9.0,6.0,15.0,7,2.0,False
La Quinta Inn by Wyndham Phoenix North,Phoenix,258.0,5.8,3,304.0,6.8,6.2,7.1,6.3,6.3,6.0,7.5,14.0,8.0,19.0,9,2.0,True
Hilton Phoenix Airport,Phoenix,441.0,8.5,3,871.0,8.8,8.9,9.0,8.9,8.4,8.8,7.846590909090906,4.7,2.5,3.2,6,1.0,False
Embassy Suites by Hilton Phoenix Downtown North,Phoenix,584.0,8.6,3,260.0,8.8,8.9,9.0,9.0,8.3,8.9,7.846590909090906,3.3,2.4,8.0,5,1.0,True
GreenTree Inn & Suites Phoenix Sky Harbor,Phoenix,385.0,7.0,3,1329.0,7.5,7.5,8.0,7.5,7.3,7.2,6.7,5.0,4.4,4.2,5,2.0,False
Sheraton Phoenix Crescent,Phoenix,429.0,7.7,3,904.0,8.0,8.2,8.7,8.2,7.8,8.0,8.0,10.0,2.4,18.0,7,1.0,True
Sonesta Select Phoenix Camelback,Phoenix,523.0,8.5,3,239.0,9.1,9.0,9.0,9.0,8.4,8.7,8.6,6.0,7.0,9.0,9,1.0,True
"Country Inn & Suites by Radisson, Phoenix Airport, AZ",Phoenix,368.0,7.3,3,573.0,8.3,7.9,8.3,7.9,7.5,7.5,8.3,4.6,2.8,3.2,5,2.0,True
Hampton Inn Phoenix - Biltmore,Phoenix,525.0,8.6,4,285.0,9.1,9.0,9.1,9.0,8.3,8.8,9.3,6.0,7.0,8.0,7,2.0,True
Comfort Inn West Phoenix at 27th Ave and I-I0,Phoenix,457.0,7.4,2,147.0,7.6,8.1,7.7,7.9,7.3,7.5,7.846590909090906,4.2,2.2,11.0,4,1.0,False
The Westin Phoenix Downtown,Phoenix,1164.0,8.6,4,369.0,9.1,9.1,8.9,9.1,8.2,8.9,7.846590909090906,1.8,0.3,6.0,7,3.0,True
SpringHill Suites Phoenix Downtown,Phoenix,615.0,8.5,3,407.0,9.0,8.9,9.1,8.9,8.5,8.6,7.846590909090906,2.1,0.65,5.0,7,1.0,False
Cambria  Phoenix- North Scottsdale,Phoenix,532.0,8.4,4,332.0,9.0,8.8,8.8,8.7,8.4,8.7,9.1,0.017,0.016,9.0,6,2.0,True
Courtyard by Marriott Phoenix West/Avondale,Phoenix,460.0,8.4,3,339.0,8.6,8.8,9.0,8.7,8.1,8.6,9.0,0.016,9.0,11.0,9,2.0,True
