Name,City,Price,Rating,Stars,Reviews,Location,Cleanliness,staff,Comfort,Value for Money,Facilities,Wifi,Closest attraction dist,Closest transportation,Closest airport,payment methods,Number of languages,Allowing pets
" Indigo San Diego - Gaslamp Quarter, an IHG Hotel",San-Diego,1027.0,8.3,4,1910.0,9.1,8.8,8.9,8.8,8.0,8.5,7.5,1.8,1.4,4.1,7.0,5,True
Omni San Diego ,San-Diego,1002.0,8.7,4,1531.0,9.4,9.1,9.3,9.1,8.3,8.9,8.0,1.8,1.5,4.3,8.0,1,True
Best Western Plus Bayside Inn,San-Diego,790.0,8.4,3,1224.0,9.4,8.9,9.2,8.8,8.3,8.4,8.4,1.5,0.4,2.7,8.0,3,False
Hard Rock  San Diego,San-Diego,1027.0,8.2,4,1689.0,9.3,8.7,8.7,8.8,7.8,8.5,8.3,1.7,1.4,4.1,3.0,1,False
Manchester Grand Hyatt San Diego,San-Diego,1268.0,8.6,4,2660.0,9.5,8.9,9.0,8.9,8.0,8.8,8.4,2.3,0.7,3.3,7.0,2,True
Days Inn by Wyndham San Diego  Circle,San-Diego,371.0,7.4,3,2118.0,8.3,7.8,8.3,7.8,7.5,7.5,7.7,3.2,3.1,3.8,5.0,1,True
Gaslamp Plaza Suites,San-Diego,718.0,8.0,4,869.0,8.9,8.5,9.1,8.5,7.8,8.1,8.2,1.4,0.95,3.6,5.0,3,False
"Staypineapple,  Z, Gaslamp San Diego",San-Diego,638.0,9.1,3,873.0,9.5,9.5,9.6,9.5,8.8,9.2,9.3,1.7,1.2,3.9,6.0,2,True
Residence Inn by Marriott San Diego Downtown/Gaslamp Quarter,San-Diego,1027.0,8.1,3,384.0,9.3,8.6,8.7,8.7,7.8,8.3,8.118243243243233,1.7,1.3,4.0,7.0,2,True
El Cordova,San-Diego,873.0,9.1,3,633.0,9.8,9.3,9.6,9.3,8.8,9.1,9.4,3.6,3.9,3.5,6.0,2,False
Handlery  San Diego,San-Diego,435.0,7.5,3,867.0,8.3,7.9,8.1,7.8,7.3,7.5,8.5,3.5,2.7,3.6,6.0,5,True
"InterContinental San Diego, an IHG ",San-Diego,1264.0,8.5,4,502.0,9.3,9.0,8.8,9.0,7.8,8.7,8.0,1.9,0.2,2.6,7.0,3,True
Hyatt Regency La Jolla at Aventine,San-Diego,958.0,8.3,4,996.0,9.0,8.8,8.9,8.8,7.9,8.6,8.4,6.0,0.6,16.0,7.0,3,True
"Holiday Inn Express  & Suites San Diego Airport - Old Town, an IHG Hotel",San-Diego,842.0,8.4,2,965.0,8.6,8.9,8.9,8.8,8.1,8.6,8.4,3.1,1.6,1.4,5.0,3,False
Bay Club  and Marina,San-Diego,615.0,8.5,3,899.0,9.4,8.8,9.1,8.8,8.2,8.6,8.7,4.6,5.0,2.4,4.0,2,False
Homewood Suites by Hilton San Diego Downtown/Bayside,San-Diego,1384.0,8.2,4,1128.0,8.9,8.6,8.5,8.7,7.9,8.4,7.4,1.7,1.1,2.0,8.0,2,True
San Diego Mission Bay Resort,San-Diego,1129.0,7.9,4,342.0,8.8,8.4,8.7,8.4,7.2,8.3,7.0,3.4,1.3,6.0,6.0,1,True
" Indigo San Diego Del Mar, an IHG Hotel",San-Diego,813.0,8.2,3,239.0,9.1,8.8,8.9,8.9,7.9,8.5,5.8,10.0,4.9,20.0,7.0,1,True
"The Guild , San Diego, a Tribute Portfolio Hotel",San-Diego,523.0,8.4,4,379.0,9.2,8.8,9.1,9.0,8.0,8.5,9.1,1.8,0.15,2.9,6.0,1,True
Ocean Park Inn,San-Diego,1130.0,8.9,3,1163.0,9.6,9.4,9.2,9.4,8.4,9.2,9.0,7.0,4.1,9.0,5.0,2,False
Wyndham San Diego Bayside,San-Diego,730.0,7.6,3,1530.0,9.3,8.1,8.1,8.2,7.3,7.7,7.8,1.9,0.45,2.3,6.0,3,True
Sands Of La Jolla,San-Diego,512.0,8.6,4,1186.0,9.1,9.0,8.8,9.0,8.7,8.7,8.4,9.0,5.0,11.0,7.0,1,False
"Holiday Inn Express - Downtown San Diego, an IHG ",San-Diego,878.0,7.7,3,1219.0,8.3,8.1,8.4,8.2,7.7,7.9,8.6,1.4,1.2,3.4,6.0,2,False
"Holiday Inn Express San Diego - Sea World Area, an IHG ",San-Diego,1027.0,8.3,2,1104.0,7.9,8.9,8.8,8.9,8.2,8.4,7.8,4.5,2.0,3.8,3.0,3,False
Best Western Plus Hacienda  Old Town,San-Diego,787.0,8.0,3,1313.0,9.3,8.2,8.8,8.3,7.7,8.0,7.8,3.1,0.55,2.3,7.0,2,False
San Diego Marriott Mission Valley,San-Diego,958.0,8.1,3,554.0,8.7,8.5,8.6,8.5,7.7,8.4,8.118243243243233,4.5,6.0,7.0,7.0,1,False
Hyatt Regency Mission Bay Spa and Marina,San-Diego,863.0,8.0,4,1011.0,8.9,8.4,8.7,8.5,7.3,8.2,8.4,4.3,4.0,6.0,7.0,6,True
"Holiday Inn Express & Suites San Diego - Mission Valley, an IHG ",San-Diego,890.0,8.4,3,653.0,8.7,8.6,8.8,8.7,8.2,8.6,8.3,3.2,3.1,3.8,6.0,1,False
"Motel 6-San Diego, CA - Downtown",San-Diego,275.0,6.9,2,1310.0,8.1,7.2,8.3,7.2,7.2,6.8,7.1,1.2,0.8,3.0,4.0,1,True
The Dana on Mission Bay,San-Diego,769.0,7.9,3,1044.0,9.0,8.3,8.5,8.3,7.2,8.2,7.5,4.0,3.8,6.0,4.0,1,True
Comfort Inn Gaslamp Convention Center,San-Diego,461.0,7.2,3,1522.0,8.6,7.6,8.3,7.6,7.3,7.2,7.5,1.6,1.2,3.8,9.0,2,False
Ramada by Wyndham San Diego Airport,San-Diego,443.0,7.0,2,468.0,8.5,7.6,7.9,7.5,7.2,7.1,8.7,4.4,4.4,3.4,6.0,3,False
Pantai Inn,San-Diego,1405.0,8.2,5,408.0,9.7,8.7,9.0,8.6,7.8,8.2,8.5,8.0,4.7,15.0,6.0,2,False
