Name,City,Price,Rating,Stars,Reviews,Location,Cleanliness,staff,Comfort,Value for Money,Facilities,Wifi,Closest attraction dist,Closest transportation,Closest airport,payment methods,Number of languages,Allowing pets
 Washington,Washington,1027.0,8.6,4,1153.0,9.7,9.0,8.9,9.1,8.1,8.8,8.6,0.65,0.45,5.0,9.0,5,True
citizenM Washington DC Capitol,Washington,890.0,8.6,4,2391.0,9.1,9.1,9.0,9.0,8.5,8.9,9.1,0.75,0.25,4.2,6.0,1,False
Riggs Washington DC,Washington,1388.0,9.1,5,759.0,9.7,9.5,9.5,9.5,8.7,9.2,9.3,0.8,0.25,5.0,4.0,7,True
"Holiday Inn Washington-Central/White House, an IHG ",Washington,799.0,7.7,3,1612.0,8.6,8.1,8.2,8.1,7.7,7.8,7.7,1.2,0.7,7.0,7.0,4,False
State Plaza ,Washington,890.0,8.6,4,2301.0,9.2,9.1,9.0,9.2,8.5,8.7,8.8,0.8,0.6,5.0,5.0,1,False
"Holiday Inn Washington Capitol-National Mall, an IHG ",Washington,910.0,7.8,3,2907.0,9.1,8.3,8.4,8.4,7.9,8.0,8.4,0.7,0.15,4.4,7.0,4,True
Washington Plaza ,Washington,1321.0,8.1,4,3021.0,9.1,8.6,8.8,8.6,8.0,8.2,8.4,1.1,0.6,6.0,5.0,18,False
Sofitel Lafayette Square Washington DC,Washington,1428.0,8.1,5,437.0,9.4,8.6,8.6,8.6,7.7,8.2,8.159821428571426,0.7,0.1,6.0,6.0,3,True
The Churchill  Near Embassy Row,Washington,665.0,8.4,4,791.0,9.0,8.9,8.8,9.0,8.4,8.5,8.5,1.7,0.8,7.0,9.0,9,False
Eaton DC,Washington,1027.0,8.6,4,661.0,9.3,9.1,9.0,9.2,8.3,8.8,8.8,0.75,0.5,6.0,6.0,3,True
Phoenix Park ,Washington,781.0,8.7,3,1110.0,9.4,9.0,9.2,9.0,8.5,8.7,8.3,0.95,0.2,6.0,9.0,6,False
Conrad Washington DC,Washington,1611.0,9.1,5,245.0,9.6,9.6,9.6,9.5,8.7,9.3,8.3,1.2,0.4,6.0,7.0,1,True
"JW Marriott Washington, DC",Washington,1542.0,8.2,5,636.0,9.5,8.8,8.5,8.8,7.8,8.4,7.5,0.5,0.4,5.0,7.0,1,False
 Hive,Washington,669.0,8.7,3,1435.0,9.4,9.1,9.5,9.0,8.6,8.7,8.8,0.65,0.4,5.0,6.0,1,True
"ARC HOTEL Washington DC, Georgetown",Washington,890.0,8.0,4,1089.0,8.9,8.4,8.5,8.5,8.1,7.9,8.6,1.1,0.25,6.0,6.0,3,True
Glover Park  Georgetown,Washington,924.0,8.2,4,691.0,9.0,8.6,8.7,8.6,8.0,8.3,8.5,1.7,1.8,9.0,4.0,1,True
