Name,City,Price,Rating,Stars,Reviews,Location,Cleanliness,staff,Comfort,Value for Money,Facilities,Wifi,Closest attraction dist,Closest transportation,Closest airport,payment methods,Number of languages,Allowing pets
Embassy Suites Dallas - Park Central Area,Dallas,374,7.3,3,"1,402",7.7,7.8,8.0,7.8,7.7,7.5,,7,6,8,8.0,2,True
"The Adolphus, Autograph Collection",Dallas,993,8.4,5,163,9.1,9.0,9.0,9.0,7.9,8.9,,700,850,9,4.0,3,True
Motel 6 Dallas TX Downtown,Dallas,227,6.6,2,717,7.8,7.2,7.5,7.1,7.1,6.8,8.4,2.7,700,6,4.0,1,True
"Holiday Inn Express & Suites - Dallas NW HWY - Love Field, an IHG ",Dallas,402,8.9,3,338,9.0,9.3,9.1,9.4,9.0,9.2,8.1,11,1.9,5,7.0,2,False
Virgin s Dallas,Dallas,992,8.5,4,354,8.8,9.1,8.9,9.0,8.0,9.0,8.7,2.6,950,6,8.0,1,True
Omni Dallas ,Dallas,"1,027",8.7,4,"1,698",9.2,9.2,9.0,9.2,8.4,9.1,,"1,000",400,9,8.0,4,True
Hyatt Regency DFW International Airport,Dallas,708,8.3,3,"1,391",9.0,8.8,8.9,8.8,7.7,8.5,8.5,14,250,250,7.0,2,False
Aloft Dallas Downtown,Dallas,584,8.4,3,478,9.1,8.8,8.9,8.8,8.5,8.6,10,800,500,9,7.0,2,True
The Beeman ,Dallas,454,8.3,3,808,9.1,8.8,8.9,8.9,8.5,8.6,8.3,6,6,7,5.0,1,True
" Indigo Dallas Downtown, an IHG Hotel",Dallas,611,8.0,3,798,8.7,8.6,8.7,8.6,8.1,8.3,8.3,1.1,1.4,9,7.0,2,True
MCM Elegante  and Suites – Dallas,Dallas,443,8.0,3,"1,185",8.2,8.4,8.5,8.4,8.3,8.2,8.1,10,2.7,4.2,4.0,2,True
Canvas  Dallas,Dallas,854,8.2,4,465,8.7,8.9,8.6,8.9,8.0,8.6,7.4,2,800,10,5.0,2,True
Hyatt House Dallas Uptown,Dallas,486,7.4,3,604,8.5,7.8,8.3,7.8,7.5,7.4,8.2,1.7,600,7,7.0,2,True
Hampton Inn & Suites Dallas Downtown,Dallas,471,8.2,3,"1,315",8.9,8.8,8.4,8.9,8.3,8.6,8.4,850,1.1,9,5.0,2,False
The Westin Dallas Park Central,Dallas,581,8.3,4,895,8.8,8.8,8.7,8.8,8.4,8.6,8.2,6,6,8,7.0,5,True
Tru By Hilton Dallas Market Center,Dallas,318,7.8,2,405,8.3,8.8,8.6,8.6,8.1,8.4,,2.6,600,6,8.0,2,
Fairmont Dallas,Dallas,701,7.9,4,538,9.0,8.6,8.7,8.6,7.8,8.2,,850,1.2,8,4.0,2,True
Thompson Dallas,Dallas,"1,029",9.0,4,79,9.2,9.3,9.3,9.3,8.2,9.4,8.9,550,750,9,4.0,1,True
"Candlewood Suites Dallas Market Center-Love Field, an IHG ",Dallas,357,7.9,3,690,8.5,8.3,8.6,8.3,8.3,8.1,7.6,7,3.4,3.2,6.0,2,True
Lorenzo ,Dallas,684,8.8,4,503,8.8,9.1,8.9,9.2,8.5,9.0,8.2,1.5,700,10,5.0,1,True
Courtyard by Marriott Dallas Downtown/Reunion District,Dallas,684,8.5,3,"1,410",8.9,9.1,8.8,9.2,8.6,8.8,8.6,950,150,9,6.0,1,False
