Name,City,Price,Rating,Stars,Reviews,Location,Cleanliness,staff,Comfort,Value for Money,Facilities,Wifi,Closest attraction dist,Closest transportation,Closest airport,payment methods,Number of languages,Allowing pets
Polo Towers,Las-Vegas,192,8.4,3,"2,279",9.0,8.8,8.6,8.8,8.5,8.5,8.4,8,500,3.3,5.0,1.0,False
Plaza  & Casino,Las-Vegas,172,7.3,4,"4,070",8.3,7.6,7.7,7.6,7.5,7.4,7.7,7,3.4,6,4.0,4.0,False
The Platinum ,Las-Vegas,522,8.5,4,"2,290",8.7,8.8,8.8,8.9,8.5,8.7,8.6,3.1,450,3.8,5.0,2.0,True
The Westin Las Vegas  & Spa,Las-Vegas,684,8.0,4,837,8.6,8.6,8.5,8.7,7.8,8.4,7.8,3,300,3.9,7.0,1.0,True
Jet Luxury at The Signature Condo ,Las-Vegas,262,8.2,4,"3,579",8.8,8.6,8.3,8.6,8.3,8.5,8.4,8,500,3.2,4.0,1.0,
Circa Resort & Casino - Adults Only,Las-Vegas,546,8.8,4,"2,058",9.0,9.4,8.9,9.4,8.5,9.3,7.8,7,3.5,6,4.0,1.0,False
Vdara  & Spa at ARIA Las Vegas,Las-Vegas,453,8.4,5,"2,000",8.9,8.8,8.6,8.9,8.2,8.6,,8,"1,000",3.9,7.0,2.0,True
JW Marriott Las Vegas Resort and Spa,Las-Vegas,787,8.4,4,249,8.8,8.8,8.8,8.9,8.1,8.5,7.9,13,13,10,7.0,1.0,False
The Signature at MGM Grand - All Suites,Las-Vegas,336,8.5,4,"1,617",8.6,9.0,8.6,9.0,8.4,8.7,,8,500,3.2,7.0,3.0,False
"Holiday Inn Express & Suites - Las Vegas - E Tropicana, an IHG ",Las-Vegas,551,8.5,3,679,8.7,8.9,8.6,8.9,8.4,8.8,8.6,9,400,2.4,7.0,1.0,False
Ellis Island  Casino & Brewery,Las-Vegas,203,7.9,3,"7,389",8.4,8.2,8.3,8.2,8.2,7.8,7.8,7,350,3.6,6.0,2.0,False
"Holiday Inn Express & Suites Las Vegas SW Springvalley, an IHG ",Las-Vegas,617,8.5,3,136,8.3,8.8,8.8,8.7,8.2,8.4,,6,6,8,7.0,2.0,False
Hyatt Place Las Vegas at Silverton Village,Las-Vegas,941,9.0,3,356,9.0,9.3,9.1,9.3,8.8,9.3,8.8,8,6,5,4.0,1.0,True
"Hampton Inn Las Vegas Strip South, NV 89123",Las-Vegas,439,9.3,2,576,8.8,9.6,9.5,9.5,9.0,9.5,8.8,7,5,4.4,8.0,2.0,True
NoMad Las Vegas,Las-Vegas,493,8.8,5,180,9.3,9.3,8.8,9.4,8.5,9.0,,8,500,3.2,4.0,4.0,True
Hyatt Place Las Vegas,Las-Vegas,492,8.4,3,"1,292",8.4,8.7,9.1,8.7,8.5,8.5,8.5,3,1.6,2.8,9.0,2.0,True
Home2 Suites by Hilton Las Vegas City Center,Las-Vegas,475,9.1,3,401,9.2,9.4,9.5,9.5,9.2,9.4,8.9,9,950,3.4,7.0,3.0,True
Club Wyndham Desert Blue,Las-Vegas,512,8.8,4,163,8.6,9.1,8.9,9.2,8.7,9.0,8.5,7,1.9,6,6.0,2.0,False
"Holiday Inn Express Las Vegas South, an IHG ",Las-Vegas,587,8.1,3,474,8.6,8.3,8.7,8.5,7.9,8.2,9.1,11,1.3,3.1,9.0,2.0,True
The Cromwell  & Casino,Las-Vegas,369,7.0,5,277,9.0,7.6,8.2,7.8,7.2,7.4,,7,350,4.2,4.0,3.0,False
DoubleTree by Hilton Las Vegas East Flamingo,Las-Vegas,371,7.1,3,308,7.5,7.7,8.3,7.7,7.2,7.3,8.2,2.4,1.6,3.7,7.0,2.0,False
SpringHill Suites Las Vegas Henderson,Las-Vegas,546,8.4,3,195,9.0,8.7,9.1,8.8,8.2,8.6,8.3,8,13,9,6.0,1.0,True
Palms Place  and Spa,Las-Vegas,306,7.8,4,197,8.2,8.3,8.2,8.3,7.9,8.0,6.3,8,2.7,6,6.0,1.0,False
Homewood Suites By Hilton Las Vegas City Center,Las-Vegas,479,8.8,3,217,8.7,9.1,9.2,9.1,8.6,9.1,8.9,8,1.3,3.8,5.0,2.0,False
Skyline  and Casino,Las-Vegas,343,8.5,3,"1,280",7.8,8.9,8.9,8.9,8.7,8.7,8.6,4.5,15,13,5.0,3.0,True
Sonesta Simply Suites Las Vegas Convention Center,Las-Vegas,306,7.5,3,469,7.9,7.8,8.2,8.0,7.7,7.6,8.5,3.6,1.3,3.8,7.0,2.0,True
La Quinta by Wyndham Las Vegas Airport South,Las-Vegas,461,8.4,3,"1,977",8.6,8.7,8.9,8.7,8.4,8.5,8.5,6,5,2.8,6.0,2.0,True
SpringHill Suites by Marriott Las Vegas Convention Center,Las-Vegas,602,8.4,3,"2,384",8.3,8.7,8.7,8.7,8.4,8.6,8.2,3,300,6,7.0,1.0,False
Home2 Suites by Hilton Las Vegas Convention Center - No Resort Fee,Las-Vegas,438,8.6,3,427,8.3,9.1,8.8,9.2,8.7,9.1,8.5,2.5,800,5,6.0,4.0,True
Home2 Suites By Hilton Las Vegas Strip South,Las-Vegas,464,9.0,3,297,9.0,9.3,9.3,9.3,8.8,9.3,9.2,7,5,4.3,6.0,1.0,True
Downtowner Boutique ,Las-Vegas,120,6.9,3,"2,188",7.7,7.6,8.0,7.5,7.6,7.2,7.1,7,3.4,7,4.0,2.0,False
Marriott's Grand Chateau,Las-Vegas,844,9.1,4,"1,226",9.4,9.4,9.3,9.4,8.9,9.2,8.9,8,550,3.3,7.0,4.0,False
Mardi Gras  & Casino,Las-Vegas,188,6.5,3,"5,381",7.2,6.9,7.4,7.0,7.3,6.6,6.8,1.8,500,4.9,4.0,2.0,False
Renaissance Las Vegas ,Las-Vegas,611,8.2,4,136,8.1,8.5,8.6,8.7,7.6,8.5,,2,250,5,7.0,4.0,False
Best Western McCarran Inn,Las-Vegas,435,7.6,3,"1,270",8.1,8.0,8.4,8.0,7.6,7.7,8.4,8,1.8,2,7.0,1.0,False
"Holiday Inn Express Las Vegas-Nellis, an IHG ",Las-Vegas,388,6.9,3,330,7.1,7.5,8.3,7.5,6.9,7.0,7.5,15,13,12,4.0,2.0,True
Travelodge by Wyndham Las Vegas Airport Near The Strip,Las-Vegas,260,7.3,2,"3,022",8.1,7.7,8.3,7.7,7.7,7.4,8.0,9,550,2.2,5.0,2.0,False
TownePlace Suites by Marriott Las Vegas Henderson,Las-Vegas,684,8.1,3,154,8.8,8.6,9.1,8.5,8.1,8.4,7.9,7,14,10,6.0,1.0,True
La Quinta Inn & Suites by Wyndham Las Vegas Nellis,Las-Vegas,512,8.5,3,298,7.7,9.0,9.0,9.0,8.3,8.9,8.8,16,14,12,4.0,3.0,True
Hilton Garden Inn Las Vegas Strip South,Las-Vegas,527,8.6,3,335,8.6,8.9,8.9,8.9,8.1,8.7,,7,5,4.3,7.0,3.0,False
Hampton Inn & Suites Las Vegas Convention Center - No Resort Fee,Las-Vegas,431,8.7,3,623,8.2,9.3,8.9,9.3,8.6,9.0,8.6,2.5,800,5,6.0,1.0,True
DoubleTree by Hilton Las Vegas Airport,Las-Vegas,405,8.0,3,225,8.7,8.5,8.5,8.5,7.8,8.2,7.5,7,4.7,2.7,8.0,1.0,False
Best Western Plus Casino Royale - Center Strip,Las-Vegas,447,7.8,3,"3,659",9.4,8.0,8.4,8.1,8.3,7.7,8.6,3.5,400,4.7,6.0,2.0,False
Embassy Suites by Hilton Las Vegas,Las-Vegas,476,8.4,3,739,8.5,8.8,8.7,8.7,8.3,8.6,8.9,3.3,1.6,3.2,9.0,1.0,True
Hilton Garden Inn Las Vegas City Center,Las-Vegas,548,8.4,3,122,8.2,8.9,8.7,8.9,8.2,8.7,8.5,8,1.3,3.9,6.0,1.0,False
Embassy Suites by Hilton Convention Center Las Vegas,Las-Vegas,496,7.8,3,"1,612",7.9,8.1,8.3,8.2,7.8,8.0,,1.7,650,4.7,8.0,4.0,True
Residence Inn Las Vegas South,Las-Vegas,534,8.9,3,76,9.0,9.2,9.1,9.1,8.6,9.0,10,3.9,1.4,3,9.0,2.0,True
Fairfield Inn Las Vegas Convention Center,Las-Vegas,377,8.1,3,525,8.2,8.6,8.8,8.6,8.2,8.3,8.7,2.2,1.2,4.2,7.0,2.0,True
"Motel 6-Las Vegas, NV - Motor Speedway",Las-Vegas,395,7.9,2,798,8.1,8.4,8.7,8.4,7.9,8.1,8.4,,19,17,4.0,2.0,True
Fairfield Inn & Suites Las Vegas South,Las-Vegas,491,8.2,3,202,8.8,8.4,9.1,8.6,8.0,8.3,8.4,11,1.3,3,9.0,2.0,True
"The ENGLiSH , Las Vegas, a Tribute Portfolio Hotel",Las-Vegas,"1,371",9.0,0,10,8.3,9.8,9.3,9.3,8.3,9.3,2.5,5,2.2,7,5.0,4.0,True
Home2 Suites By Hilton Las Vegas Northwest,Las-Vegas,496,8.8,3,186,8.5,9.2,9.0,9.2,8.7,9.0,8.8,,20,12,8.0,2.0,True
"Candlewood Suites - Las Vegas - E Tropicana, an IHG ",Las-Vegas,600,9.1,0,186,9.1,9.4,9.4,9.6,9.2,9.3,9.3,9,550,2.2,7.0,1.0,True
Best Western Plus Henderson ,Las-Vegas,377,8.7,3,"1,602",8.0,9.1,9.2,9.1,8.8,8.9,8.2,4.9,16,13,3.0,2.0,True
Courtyard by Marriott Las Vegas Convention Center,Las-Vegas,581,8.6,3,286,8.7,9.1,9.1,9.1,8.5,8.8,9.1,2.1,100,5,7.0,2.0,False
Comfort Inn & Suites Henderson - Las Vegas,Las-Vegas,433,8.2,3,431,8.6,8.7,8.7,8.6,8.2,8.4,8.8,3.7,13,11,4.0,2.0,False
El Cortez  & Casino Adults Over 21 Only,Las-Vegas,127,7.6,3,"2,262",8.3,8.0,8.2,8.0,8.0,7.8,8.1,7,3.4,7,3.0,1.0,False
Golden Gate Casino ,Las-Vegas,82,6.5,3,881,8.2,7.2,8.0,7.1,7.2,6.8,7.5,7,3.3,6,4.0,2.0,False
Arizona Charlie's Decatur,Las-Vegas,203,7.1,3,"1,444",7.7,7.4,7.9,7.5,7.3,7.3,6.9,6,5,5,4.0,2.0,False
Hampton Inn & Suites Las Vegas South,Las-Vegas,502,8.8,2,456,9.0,9.3,9.2,9.3,8.8,9.0,9.1,11,12,2.6,7.0,2.0,True
Best Western Plus Las Vegas South Henderson,Las-Vegas,505,8.2,3,294,8.7,8.7,8.7,8.7,8.0,8.4,8.6,11,11,3.1,7.0,2.0,True
Courtyard Las Vegas South,Las-Vegas,553,8.2,3,131,8.4,8.7,8.9,8.9,8.0,8.6,8.9,11,1.3,3,9.0,2.0,True
Jet Luxury at The Vdara,Las-Vegas,405,8.0,4,700,8.9,8.5,8.6,8.6,8.0,8.3,8.0,8,500,3.2,4.0,2.0,
Fairfield Inn & Suites Las Vegas Airport South,Las-Vegas,522,8.5,3,66,8.9,8.6,9.0,8.9,8.1,8.5,,7,4.4,3,5.0,1.0,
Alexis Park All Suite Resort,Las-Vegas,374,7.6,3,"3,393",8.1,8.0,8.1,8.1,7.9,7.7,7.9,7,1.2,2.9,6.0,1.0,True
Jockey Resort Suites Center Strip,Las-Vegas,464,8.4,3,809,9.5,8.7,8.7,8.8,8.8,8.3,8.4,8,550,3.8,5.0,2.0,
La Quinta by Wyndham Las Vegas RedRock/Summerlin,Las-Vegas,684,8.0,3,326,8.8,8.4,8.7,8.4,7.8,8.0,7.2,11,13,12,5.0,2.0,True
Residence Inn by Marriott Las Vegas Convention Center,Las-Vegas,581,8.6,3,317,8.8,9.0,9.0,9.0,8.5,8.7,9.3,2.2,150,6,7.0,2.0,True
Silver Sevens  & Casino,Las-Vegas,128,6.5,3,"2,397",7.5,7.0,7.4,7.1,7.0,6.8,7.2,3.5,1.4,3.5,4.0,3.0,False
Tru By Hilton Las Vegas Airport NV,Las-Vegas,405,8.6,2,492,8.8,9.0,9.1,8.9,8.5,8.9,9.0,6,3.4,2.3,5.0,1.0,False
