Name,City,Price,Rating,Stars,Reviews,Location,Cleanliness,staff,Comfort,Value for Money,Facilities,Wifi,Closest attraction dist,Closest transportation,Closest airport,payment methods,Number of languages,Allowing pets
Ace  Downtown Los Angeles,Los-Angeles,855,7.7,4,665,8.2,8.2,8.4,8.3,7.1,7.9,8.0,1.6,800,15,3.0,4.0,True
Level Los Angeles - Downtown South Olive,Los-Angeles,"1,026",8.0,4,"1,474",8.6,8.5,8.2,8.4,7.9,8.5,8.2,1.8,550,15,5.0,2.0,
citizenM Los Angeles Downtown,Los-Angeles,615,8.8,4,"2,176",8.3,9.2,9.3,9.1,8.4,9.1,8.9,1.2,350,16,6.0,1.0,False
The Adler a Hollywood ,Los-Angeles,908,7.8,3,"2,000",8.6,8.1,8.6,8.1,7.7,7.7,8.5,2.6,500,11,7.0,4.0,False
Hollywood Historic ,Los-Angeles,602,8.0,3,"1,760",8.2,8.4,9.0,8.4,8.1,7.9,8.1,3.4,2.1,14,3.0,3.0,False
Hilton Los Angeles-Universal City,Los-Angeles,"1,242",8.2,4,"2,611",9.4,8.5,8.6,8.6,7.5,8.4,7.9,4.3,450,7,7.0,7.0,True
Park Plaza Lodge,Los-Angeles,670,8.6,3,"1,095",9.2,8.9,9.4,9.0,8.4,8.4,9.4,3.7,3.7,11,5.0,1.0,False
The London West Hollywood at Beverly Hills,Los-Angeles,"1,577",8.9,5,381,9.3,9.3,9.3,9.4,8.4,9.1,9.2,3.2,4.4,10,3.0,2.0,True
"InterContinental - Los Angeles Downtown, an IHG ",Los-Angeles,"1,233",8.7,4,"2,659",9.1,9.1,8.9,9.1,8.4,9.0,8.7,1.5,200,16,7.0,1.0,True
"Holiday Inn Los Angeles - LAX Airport, an IHG ",Los-Angeles,548,7.4,3,"4,589",8.0,7.9,8.0,8.0,7.4,7.6,8.1,11,14,3.7,6.0,2.0,False
 Aventura,Los-Angeles,606,8.4,3,983,8.2,8.8,8.8,8.7,8.3,8.5,8.4,3.2,1.1,15,3.0,2.0,False
Omni Los Angeles  California Plaza,Los-Angeles,890,8.5,4,"1,121",8.8,9.0,9.1,9.1,8.1,8.8,,1.2,400,17,8.0,3.0,True
 Normandie - Los Angeles,Los-Angeles,611,8.1,3,612,8.6,8.5,9.0,8.5,8.0,8.1,8.5,4,150,15,7.0,1.0,True
"Holiday Inn Express Hollywood Walk of Fame, an IHG ",Los-Angeles,804,8.0,3,839,8.7,8.6,8.5,8.5,7.7,8.2,8.8,1.6,500,11,5.0,2.0,False
"Holiday Inn Express Los Angeles LAX Airport, an IHG ",Los-Angeles,704,8.5,3,"1,715",8.7,8.9,8.9,9.0,8.2,8.6,7.7,9,14,3.1,7.0,5.0,False
Homewood Suites By Hilton Los Angeles International Airport,Los-Angeles,787,8.0,3,"1,302",8.7,8.5,8.3,8.6,7.7,8.4,8.4,9,15,1.8,5.0,2.0,False
Fairmont Century Plaza Los Angeles,Los-Angeles,"1,475",8.9,5,76,9.2,9.1,9.4,9.4,8.5,9.1,9.2,4.3,6,6,5.0,1.0,True
"The Hoxton, Downtown LA",Los-Angeles,876,8.4,4,653,8.4,9.1,9.0,9.1,8.1,8.6,9.2,1.7,"1,000",15,5.0,2.0,
"H  Los Angeles, Curio Collection By Hilton",Los-Angeles,821,8.1,4,"1,812",8.7,8.7,8.3,8.8,7.9,8.5,8.4,9,15,1.8,5.0,3.0,False
Hilton Santa Monica,Los-Angeles,"1,505",7.9,4,974,8.3,8.6,8.6,8.6,7.1,8.1,,2.3,8,3.6,7.0,2.0,False
"Beverly Wilshire, A Four Seasons ",Los-Angeles,"3,177",8.9,5,247,9.8,9.2,9.2,9.3,8.2,8.9,8.6,3.7,7,7,7.0,10.0,True
Montrose at Beverly Hills,Los-Angeles,"1,199",8.6,4,354,9.3,9.0,9.1,9.1,7.9,8.6,7.9,3.3,4.8,10,3.0,7.0,
Fairmont Miramar  & Bungalows,Los-Angeles,"1,728",8.0,5,333,9.3,8.5,8.7,8.6,7.1,8.3,,4.4,7,4.7,6.0,6.0,True
