Name,City,Price,Rating,Stars,Reviews,Location,Cleanliness,staff,Comfort,Value for Money,Facilities,Wifi,Closest attraction dist,Closest transportation,Closest airport,payment methods,Number of languages,Allowing pets
citizenM Miami Brickell,Miami,649,8.7,4,512,9.6,9.0,9.1,9.1,8.5,8.9,9.1,1.8,100,2.6,6.0,1,False
Sheraton Miami Airport  and Executive Meeting Center,Miami,538,7.3,4,"2,032",8.6,7.8,8.0,7.9,7.1,7.4,8.3,7,200,2.9,6.0,3,True
YOTEL Miami,Miami,615,8.1,4,822,8.9,8.6,8.6,8.6,7.7,8.3,9.4,1.8,100,1.5,9.0,2,True
EAST Miami,Miami,"1,714",8.5,5,"3,772",9.4,8.9,8.4,9.0,8.1,8.9,8.7,2.6,10,2.4,5.0,12,True
"Candlewood Suites Miami Intl Airport - 36th St, an IHG ",Miami,464,8.8,3,"1,065",8.6,9.1,8.9,9.1,8.5,9.0,8.7,8,2.3,1.5,7.0,4,True
" Indigo - Miami Brickell, an IHG Hotel",Miami,714,8.0,4,850,8.8,8.7,8.4,8.7,7.7,8.3,8.1,2,150,3,6.0,2,True
Hilton Garden Inn Miami Dolphin Mall,Miami,489,8.6,3,"3,284",9.0,9.0,8.5,9.0,8.4,8.8,7.9,13,8,9,5.0,2,False
Loews Coral Gables ,Miami,855,9.3,4,14,9.5,9.8,9.6,9.8,8.2,9.8,,4.7,1.4,7,5.0,1,True
"InterContinental Miami, an IHG ",Miami,"1,371",8.3,5,"1,421",9.3,8.7,8.7,8.8,7.6,8.5,8.6,1.8,150,1.5,3.0,5,True
Selina Miami River,Miami,340,7.5,3,837,7.7,7.8,8.6,7.7,7.3,7.6,8.2,3.1,700,2.8,2.0,2,True
Homewood Suites by Hilton Miami Dolphin Mall,Miami,584,8.5,3,"1,038",9.1,8.9,8.3,8.9,8.3,8.8,8.3,13,8,9,6.0,2,False
Wonderful 1 bedroom condo in Midtown.,Miami,890,8.8,0,4,8.1,10,9.4,10,8.8,8.8,,3.5,2.1,3.1,,2,
Sonesta Miami Airport,Miami,467,8.1,4,767,8.7,8.5,8.4,8.6,7.9,8.3,8.5,7,1.8,2.9,9.0,4,True
Hampton Inn & Suites by Hilton Miami Downtown/Brickell,Miami,730,8.6,4,"4,415",9.3,8.9,8.9,9.0,8.3,8.7,8.6,2.1,100,2.9,7.0,3,False
"Atwell Suites - Miami Brickell, an IHG ",Miami,773,8.4,0,164,8.9,9.0,8.7,8.9,8.5,8.7,,2,150,3,7.0,2,
Hilton Miami Downtown,Miami,637,8.0,4,"2,275",8.7,8.4,8.5,8.4,7.8,8.2,7.5,2,200,1.5,6.0,10,False
Tru By Hilton Miami West Brickell,Miami,435,8.5,3,241,8.4,9.1,8.9,9.1,8.3,8.8,,2.7,850,3.8,8.0,1,
"Holiday Inn Miami International Airport, an IHG ",Miami,430,7.5,3,"3,290",8.2,8.0,8.2,8.0,7.5,7.6,8.2,7,1.4,2.9,7.0,3,False
Novotel Miami Brickell,Miami,522,8.0,4,918,8.5,8.5,8.3,8.6,7.8,8.4,8.3,2.3,350,3.3,3.0,3,False
Mayfair House  & Garden,Miami,"1,060",8.5,5,45,9.4,9.2,8.8,8.7,8.2,8.9,7.5,7,1.3,9,9.0,2,True
Comfort Inn & Suites Miami International Airport,Miami,399,8.0,3,"4,118",8.4,8.3,8.3,8.4,8.0,8.2,7.7,7,1.6,2,6.0,1,False
DoubleTree by Hilton Grand  Biscayne Bay,Miami,838,7.5,3,779,8.8,8.0,8.1,8.0,7.4,7.8,,2.4,300,1.4,8.0,2,False
"Hampton Inn & Suites Miami Wynwood Design District, FL",Miami,610,8.5,4,"1,265",8.9,8.9,8.9,8.9,8.3,8.8,8.0,4,2.3,3.2,7.0,2,True
Four Seasons  Miami,Miami,"2,473",9.0,5,220,9.3,9.4,9.1,9.5,8.5,9.2,7.9,2.4,150,3.1,6.0,8,True
 Ponce de Leon,Miami,417,7.9,2,"1,319",8.9,8.3,8.3,8.2,8.1,7.7,8.3,5,2.7,5,4.0,2,False
Fortune House  Suites,Miami,976,8.6,4,"1,917",9.3,8.8,9.1,8.9,8.2,8.7,8.0,2.4,250,3.1,5.0,4,
Sonesta Simply Suites Miami Airport Doral,Miami,684,8.4,2,786,8.5,8.6,8.8,8.6,8.3,8.4,8.6,6,5,5,9.0,2,True
"Staybridge Suites - Miami International Airport, an IHG ",Miami,584,8.1,3,"1,311",8.3,8.5,8.4,8.6,8.1,8.4,8.5,6,350,3.4,7.0,5,True
"The Gabriel Miami Downtown, Curio Collection by Hilton",Miami,746,7.1,5,204,8.7,8.1,8.0,8.2,7.0,7.6,8.7,1.6,100,1.3,5.0,3,True
EB  Miami Airport,Miami,676,8.9,4,982,8.9,9.3,8.9,9.4,8.6,9.2,8.6,7,1.5,2.7,4.0,4,False
Aloft Miami Brickell,Miami,522,7.7,3,633,8.7,8.2,8.4,8.3,7.7,7.9,8.3,2,200,3,6.0,3,
Hyatt Regency Coral Gables in Miami,Miami,993,8.4,4,654,9.2,8.8,8.7,8.8,8.1,8.5,8.5,,,,7.0,6,True
SpringHill Suites by Marriott Miami Doral,Miami,512,8.3,3,"1,203",8.8,8.6,8.5,8.7,8.3,8.6,8.5,6,6,8,6.0,2,False
Element Miami International Airport,Miami,615,7.6,3,579,8.2,8.1,8.0,8.1,7.6,8.1,8.1,6,600,3.6,5.0,2,True
Hilton Miami Airport Blue Lagoon,Miami,557,7.3,4,"2,755",8.4,7.7,7.9,7.8,7.0,7.6,,8,1.6,1.8,7.0,2,True
Nuvo Suites  - Miami / Doral,Miami,360,8.2,4,"2,246",8.6,8.5,8.8,8.5,8.1,8.3,8.1,12,8,8,5.0,2,True
Wyndham Garden Miami International Airport,Miami,469,8.4,4,"3,850",8.7,9.0,8.5,9.0,8.4,8.8,8.8,7,1.5,1.8,3.0,2,False
Homewood Suites by Hilton Miami Downtown/Brickell,Miami,553,7.2,4,837,8.0,7.7,7.8,7.7,7.1,7.4,6.5,2.5,600,3.5,5.0,4,True
AC  Miami Wynwood,Miami,538,8.4,4,292,8.8,8.7,8.4,8.8,8.1,8.7,7.9,4,2.2,3.1,6.0,2,True
"Life House, Little Havana",Miami,559,7.9,4,276,7.8,8.7,8.9,8.7,7.6,8.0,9.5,2.5,1.5,3.6,9.0,2,False
The Elser  Miami,Miami,739,9.3,4,30,9.5,9.6,9.2,9.3,8.7,9.4,10,1.7,150,1.3,9.0,1,True
La Quinta by Wyndham Miami Airport East,Miami,310,6.2,3,"4,016",7.6,6.7,7.4,6.7,6.5,6.3,7.1,6,1.1,2.8,9.0,2,False
TownePlace Suites by Marriott Miami Airport,Miami,769,7.9,3,630,8.4,8.5,8.5,8.5,8.0,8.3,8.9,7,1.5,3,9.0,2,True
Mr. C Miami - Coconut Grove,Miami,"1,288",8.5,5,285,9.2,9.2,9.0,9.3,8.0,9.0,8.9,7,1.4,9,4.0,4,True
Hyatt Centric Brickell Miami,Miami,917,8.3,4,"1,437",9.2,8.6,8.5,8.6,8.0,8.4,8.4,2,200,2.8,4.0,3,True
"Holiday Inn Miami North I-95, an IHG ",Miami,495,7.5,0,"1,390",7.2,8.0,7.9,8.1,7.6,8.0,8.3,8,3.7,8,7.0,2,False
Homewood Suites by Hilton Miami - Airport West,Miami,611,8.7,3,252,8.6,9.0,9.0,8.9,8.5,8.9,8.3,8,4,3.4,6.0,1,True
The Guild Downtown | X Miami,Miami,958,8.5,8,758,9.1,8.8,8.5,8.8,8.3,8.8,8.4,1.7,40,1.4,4.0,2,
"Holiday Inn  Miami-Doral Area, an IHG Hotel",Miami,551,7.2,3,"2,335",8.4,7.5,7.7,7.6,7.1,7.3,7.9,7,4.6,5,9.0,3,False
DoubleTree by Hilton Miami Doral,Miami,472,8.7,4,"2,450",8.8,9.0,9.0,9.0,8.4,8.9,8.8,12,7,7,9.0,2,True
Hyatt Regency Miami,Miami,986,7.9,3,"1,325",8.9,8.3,8.5,8.3,7.4,8.0,8.4,2.2,50,2,7.0,2,True
The Vagabond ,Miami,615,8.8,3,218,8.5,9.3,9.2,9.2,8.4,8.9,9.3,7,5,7,4.0,3,False
Four Points by Sheraton Coral Gables,Miami,491,8.3,4,477,8.8,8.9,8.7,8.8,8.1,8.6,8.5,4.9,350,8,6.0,2,False
"Holiday Inn  Port of Miami-Downtown, an IHG Hotel",Miami,747,7.4,3,"2,264",9.2,7.5,8.2,7.7,7.1,7.3,8.3,1.6,150,1.3,7.0,2,True
Residence Inn by Marriott Miami West/FL Turnpike,Miami,649,8.3,3,320,8.0,8.6,8.7,8.7,8.3,8.6,9.4,13,7,12,9.0,2,True
AC  By Marriott Miami Dadeland,Miami,467,8.7,4,379,9.0,9.0,8.9,9.0,8.3,8.8,7.6,8,550,12,5.0,1,False
Hyatt Place Miami Airport East,Miami,521,8.1,3,"2,002",8.3,8.5,8.5,8.5,8.0,8.4,8.6,6,1.1,2.8,6.0,2,True
"Holiday Inn Express Miami Airport Doral Area, an IHG ",Miami,764,8.0,3,"2,257",8.6,8.2,8.5,8.4,7.9,8.0,8.1,7,4,4.9,9.0,3,False
 St. Michel,Miami,427,8.5,3,732,9.3,8.8,9.2,8.8,8.3,8.3,9.0,4.9,2.4,6,4.0,3,False
"Tru By Hilton Miami Airport South Blue Lagoon, Fl",Miami,466,7.7,4,235,8.5,8.4,8.0,8.5,7.8,8.3,,6,1.9,1.7,8.0,2,
Provident Doral At The Blue,Miami,457,7.6,4,"2,045",8.5,8.0,7.9,7.9,7.6,7.8,7.9,8,3,6,4.0,2,False
The Mutiny Luxury Suites ,Miami,624,7.9,4,607,9.1,8.3,8.2,8.3,7.9,8.0,6.1,7,1.5,9,5.0,2,False
Comfort Suites Miami Airport North,Miami,356,7.1,3,"2,097",7.9,7.5,7.8,7.6,7.3,7.4,6.8,7,1.6,2,7.0,1,False
Aloft Miami Doral,Miami,436,7.9,3,"1,607",8.5,8.2,8.2,8.3,7.9,8.1,8.4,6,6,8,7.0,2,True
AC  By Marriott Miami Brickell,Miami,708,7.6,3,78,8.9,8.2,8.1,8.6,7.4,8.4,,1.7,350,2.7,5.0,2,True
Courtyard by Marriott Miami Airport,Miami,491,7.7,3,973,8.7,8.3,8.0,8.3,7.6,8.1,7.7,7,1.3,2.9,7.0,2,False
