Name,City,Price,Rating,Stars,Reviews,Location,Cleanliness,staff,Comfort,Value for Money,Facilities,Wifi,Closest attraction dist,Closest transportation,Closest airport,payment methods,Number of languages,Allowing pets
Courtyard by Marriott New York Manhattan/Central Park,New-York,"1,183",8.2,4,"3,195",9.4,8.4,8.6,8.5,7.7,8.0,8.3,900,150,9,7.0,8,True
Residence Inn by Marriott New York Manhattan/Central Park,New-York,"1,183",8.4,4,"1,290",9.6,8.6,8.8,8.6,7.9,8.2,8.6,900,100,9,7.0,8,True
The Cloud One New York-Downtown,New-York,"1,072",8.1,4,375,9.1,8.7,8.4,8.7,7.5,7.9,7.6,1.6,200,14,4.0,2,True
Riu Plaza New York Times Square,New-York,"1,141",8.4,4,"6,302",9.4,8.8,8.7,8.8,8.3,8.6,8.6,1.4,300,10,6.0,2,False
MOXY NYC Times Square,New-York,902,8.0,4,"9,310",9.3,8.3,8.5,8.4,8.0,8.2,8.6,1.2,200,10,7.0,5,True
 Lucerne,New-York,870,8.5,4,"1,078",9.4,9.0,9.1,9.0,8.2,8.4,8.4,1.5,150,9,5.0,5,False
Grayson ,New-York,"1,245",8.2,4,31,9.5,8.8,8.9,8.6,7.3,8.6,10,900,250,10,5.0,3,True
M Social  Times Square New York,New-York,"1,245",8.4,4,"5,152",9.6,8.7,8.5,8.7,7.9,8.5,8.3,1.1,150,10,6.0,5,True
Wingate by Wyndham New York Midtown South/5th Ave,New-York,862,7.9,3,"1,510",9.2,8.4,8.6,8.4,7.9,8.0,8.4,1.1,350,10,6.0,2,False
Archer  New York,New-York,"1,245",8.8,4,737,9.5,9.0,9.3,9.1,8.3,8.7,9.1,950,300,10,4.0,1,True
Hyatt Place New York City/Times Square,New-York,"1,072",7.6,4,"14,432",8.7,7.9,8.2,8.0,7.6,7.6,8.4,1.1,350,10,4.0,2,False
citizenM New York Times Square,New-York,"1,210",8.7,4,"2,943",9.6,9.0,9.2,8.9,8.3,8.9,9.2,900,100,10,3.0,1,False
Times Square EDITION New York,New-York,"1,326",8.5,5,720,9.2,9.0,9.0,9.1,7.8,8.7,8.6,1.2,150,10,7.0,2,True
CIVILIAN ,New-York,852,8.5,4,"1,017",9.5,8.8,9.3,8.7,8.0,8.3,8.1,950,150,10,5.0,3,True
Hard Rock  New York,New-York,"1,488",8.8,5,"1,102",9.4,9.2,9.0,9.3,8.1,8.9,9.1,1.1,100,10,3.0,1,True
Arlo Midtown,New-York,918,8.7,4,"2,784",9.0,9.1,9.1,9.1,8.3,9.0,9.0,1.5,400,10,3.0,2,False
Hyatt Place NYC Chelsea,New-York,"1,068",7.9,4,"5,245",9.1,8.2,8.2,8.3,7.6,7.8,8.2,900,150,11,6.0,2,True
Hyatt House New York/Chelsea,New-York,985,8.1,3,529,9.1,8.5,8.6,8.6,7.7,8.1,9.0,1.3,200,10,7.0,2,False
 Belleclaire Central Park,New-York,970,8.0,4,"2,419",9.2,8.5,8.8,8.4,7.8,7.7,6.5,1.6,200,9,4.0,6,True
New York Hilton Midtown,New-York,"1,058",7.6,4,870,9.3,7.9,7.9,8.1,6.7,7.6,6.5,900,250,9,7.0,7,True
Doubletree By Hilton New York Times Square West,New-York,966,7.0,4,"14,469",8.4,7.5,7.7,7.5,7.3,7.1,7.2,1.2,300,10,7.0,6,True
TownePlace Suites by Marriott New York Manhattan/Times Square,New-York,746,8.2,3,"1,426",9.2,8.6,9.0,8.5,8.3,8.3,8.5,1.1,200,10,7.0,2,True
Embassy Suites By Hilton New York Manhattan Times Square,New-York,879,7.9,4,"4,073",9.3,8.0,8.6,8.1,7.8,8.0,7.6,1.1,300,10,5.0,2,True
The Pearl ,New-York,"1,144",8.6,4,920,9.6,9.0,9.2,9.0,8.0,8.5,9.1,900,150,10,5.0,2,False
