Name,City,Price,Rating,Stars,Reviews,Location,Cleanliness,staff,Comfort,Value for Money,Facilities,Wifi,Closest attraction dist,Closest transportation,Closest airport,payment methods,Number of languages,Allowing pets
"Holiday Inn Orlando Intl Drive Conv Center, an IHG ",Orlando,399,10,3,3,10,10,10,10,10,10,,11,10,17,7,5,False
"Holiday Inn Express & Suites Orlando- Lake Buena Vista, an IHG ",Orlando,374,8.8,3,"1,609",9.3,9.2,8.9,9.3,8.9,9.1,9.0,11,10,19,5,2,False
"Wyndham Orlando Resort & Conference Center, Celebration Area",Orlando,188,7.7,3,"2,163",8.6,8.2,8.3,8.1,7.9,8.0,7.5,14,13,29,5,4,True
Rosen Inn Closest to Universal,Orlando,275,8.0,3,"6,143",9.1,8.2,8.2,8.2,8.4,8.0,7.2,9,10,17,6,2,True
"Candlewood Suites - Orlando - Lake Buena Vista, an IHG ",Orlando,461,9.0,3,"2,416",9.4,9.2,9.2,9.3,9.1,9.2,9.0,11,11,20,6,4,True
SpringHill Suites by Marriott Orlando at FLAMINGO CROSSINGS Town Center-Western Entrance,Orlando,477,8.8,3,"1,553",9.3,8.9,9.0,9.0,8.9,9.0,8.9,16,19,31,7,2,False
TownePlace Suites Orlando at FLAMINGO CROSSINGS® Town Center/Western Entrance,Orlando,512,8.8,3,"1,048",9.3,8.9,9.1,8.9,8.9,9.0,8.7,16,19,31,7,7,True
"avid hotels - Orlando International Airport, an IHG ",Orlando,408,8.9,0,"1,914",9.1,9.3,9.0,9.3,9.0,9.1,9.0,9,3.3,4.8,7,1,False
The Delaney ,Orlando,613,9.2,0,299,9.1,9.7,9.6,9.6,9.2,9.5,9.5,1.9,550,5,6,2,True
Rosen Inn Lake Buena Vista,Orlando,276,7.7,3,"3,965",9.0,7.9,8.4,7.9,8.3,7.8,7.1,10,10,19,6,2,True
Embassy Suites by Hilton Orlando International Drive Convention Center,Orlando,619,8.4,3,"2,023",9.4,8.6,9.0,8.6,8.5,8.6,,12,11,17,7,3,False
Homewood Suites by Hilton Lake Buena Vista - Orlando,Orlando,684,8.5,3,337,9.2,8.8,8.9,8.8,8.6,8.7,8.3,11,10,19,7,2,False
Hyatt Place Orlando Airport,Orlando,567,8.2,3,388,8.9,8.6,8.8,8.6,8.2,8.3,8.2,11,5,5,7,2,True
"Country Inn & Suites by Radisson, Orlando Airport, FL",Orlando,417,7.6,3,"3,202",8.8,7.9,8.3,8.0,7.9,7.6,7.9,11,5,4.9,7,2,False
Galleria Palms Orlando,Orlando,336,8.3,3,"2,086",9.0,8.5,9.1,8.5,8.6,8.3,8.6,14,13,29,8,3,False
La Quinta by Wyndham Orlando Universal area,Orlando,340,7.7,3,"4,995",8.9,7.9,8.5,7.9,8.1,7.7,8.3,7,9,14,4,4,True
 Monreale Express International Drive Orlando,Orlando,292,7.6,3,"3,742",9.0,7.5,8.5,7.6,8.1,7.6,8.6,9,10,16,4,3,False
Monumental  Orlando,Orlando,306,6.7,3,446,8.3,7.2,8.0,7.4,7.5,6.7,,10,8,17,5,3,False
The EO Inn - Downtown Orlando,Orlando,581,7.6,3,326,9.2,7.9,8.6,7.9,7.8,7.6,6.5,2.8,1.2,3.8,3,1,False
Marriott Orlando Downtown,Orlando,821,7.9,3,"1,117",8.6,8.6,8.5,8.5,7.8,8.4,,1.8,400,5,6,2,False
"Hilton Garden Inn Winter Park, FL",Orlando,684,8.7,3,172,9.1,9.2,9.1,9.3,8.1,9.1,10,2.1,1.8,8,6,1,False
"Holiday Inn Express & Suites Orlando International Airport, an IHG ",Orlando,492,8.5,2,596,8.8,8.8,9.0,8.9,8.5,8.6,8.6,9,3.3,4.8,3,2,False
Ramada by Wyndham Suites Orlando Airport,Orlando,476,7.9,3,"3,897",8.8,8.3,8.3,8.4,8.2,8.0,8.4,9,6,4.4,4,2,False
The Florida  & Conference Center in the Florida Mall,Orlando,614,8.6,4,"1,820",9.2,8.9,8.8,8.9,8.4,8.8,,9,3,9,7,7,True
"Holiday Inn Express & Suites - Orlando - Lake Nona Area, an IHG ",Orlando,496,8.8,3,632,9.2,9.1,9.1,9.2,8.5,9.0,8.7,17,13,7,7,1,False
Wyndham Garden Lake Buena Vista Disney Springs® Resort Area,Orlando,404,7.7,4,"3,095",9.3,8.2,8.4,8.3,7.8,7.9,8.2,10,11,21,5,3,False
"Holiday Inn Express-International Drive, an IHG ",Orlando,454,8.3,3,"1,995",9.0,8.7,8.7,8.7,8.5,8.4,8.3,10,10,17,4,6,False
Hyatt Place across from Universal Orlando Resort,Orlando,581,7.9,3,880,9.1,8.2,8.8,8.3,8.0,7.9,8.2,8,9,15,7,2,True
"Home2 Suites by Hilton Orlando Downtown, FL",Orlando,406,8.6,3,421,9.0,9.1,8.7,9.2,8.4,8.8,8.3,2.7,400,4.5,8,1,True
SpringHill Suites by Marriott Winter Park,Orlando,855,8.9,3,75,9.2,9.5,9.4,9.4,8.6,9.4,7.5,2,1.9,8,5,1,False
Wingate By Wyndham - Orlando International Airport,Orlando,532,8.4,3,"1,755",9.1,8.8,8.8,8.8,8.6,8.5,8.8,9,6,5,5,2,False
Marriott Orlando Airport Lakeside,Orlando,752,8.4,4,705,9.1,8.9,8.8,8.9,8.0,8.6,,10,6,4.4,7,2,False
TownePlace Suites by Marriott Orlando Theme Parks/Lake Buena Vista,Orlando,581,8.7,3,364,9.3,9.0,8.8,9.0,8.8,9.0,8.4,11,10,19,5,2,True
DoubleTree by Hilton at the Entrance to Universal Orlando,Orlando,532,8.1,4,"5,473",9.2,8.4,8.7,8.5,8.2,8.4,8.5,8,9,15,7,2,True
"Staybridge Suites Orlando South, an IHG ",Orlando,683,8.7,3,772,9.2,8.9,9.0,9.0,8.8,8.8,8.4,9,6,4.5,3,2,True
"Homewood Suites By Hilton Orlando Flamingo Crossings, Fl",Orlando,464,9.2,3,"1,385",9.2,9.3,9.2,9.4,9.1,9.4,9.3,16,19,31,8,2,True
ette luxury hotel & spa,Orlando,"1,295",9.5,5,114,9.0,9.8,9.8,9.8,9.4,9.7,9.6,14,14,29,4,2,False
La Quinta Inn by Wyndham Orlando International Drive North,Orlando,399,7.4,3,"6,441",9.0,7.6,8.4,7.6,7.9,7.4,7.9,9,9,16,5,3,True
Hyatt Place Orlando/Lake Buena Vista,Orlando,"1,020",8.2,3,"1,135",9.2,8.5,8.7,8.6,8.3,8.2,8.4,10,11,20,6,3,True
