Name,City,Price,Rating,Stars,Reviews,Location,Cleanliness,staff,Comfort,Value for Money,Facilities,Wifi,Closest attraction dist,Closest transportation,Closest airport,payment methods,Number of languages,Allowing pets
RISE Uptown,Phoenix,629,8.9,4,253,8.7,9.5,9.3,9.3,8.6,9.2,8.3,4.2,3.7,11,7,1.0,
"Holiday Inn Express & Suites - Phoenix - Airport North, an IHG ",Phoenix,519,9.0,3,552,9.0,9.3,9.0,9.3,8.8,9.2,8.7,7,950,3.3,7,1.0,False
SureStay  by Best Western Phoenix Airport,Phoenix,"1,233",7.2,3,"3,880",6.9,7.9,7.9,7.9,7.8,7.5,8.0,6,1.4,1.9,5,1.0,True
Found Re Phoenix,Phoenix,752,8.4,4,640,8.9,9.0,8.5,8.9,8.1,8.8,8.8,1.5,100,7,8,2.0,True
"Holiday Inn Express & Suites - Phoenix Dwtn - State Capitol, an IHG ",Phoenix,503,8.3,0,580,7.9,8.8,8.6,8.8,8.3,8.7,8.8,1.9,1.2,7,7,1.0,False
Best Western InnSuites Phoenix  & Suites,Phoenix,326,8.0,3,422,8.4,8.5,8.8,8.5,8.0,8.1,8.5,10,4.9,14,7,2.0,True
"Holiday Inn Phoenix Airport, an IHG ",Phoenix,409,7.4,3,284,8.4,7.8,8.3,7.9,7.5,7.7,5.8,4.8,3.3,3.5,4,4.0,False
"Crowne Plaza Phoenix Airport, an IHG ",Phoenix,535,8.0,3,"1,107",8.7,8.6,8.7,8.6,8.0,8.2,8.0,7,50,2.7,6,3.0,True
"Holiday Inn Express & Suites - Phoenix North - Scottsdale, an IHG ",Phoenix,409,8.3,3,327,8.8,8.9,8.6,8.9,8.2,8.6,7.8,17,16,9,7,2.0,False
The Hermosa Inn,Phoenix,821,9.2,4,44,9.5,9.6,9.7,9.7,8.2,9.1,,8,8,9,6,2.0,True
Hampton Inn & Suites Phoenix Downtown,Phoenix,458,8.6,3,688,9.0,9.2,9.0,9.1,8.5,8.9,7.8,1.8,350,6,9,1.0,True
DoubleTree Suites by Hilton Phoenix,Phoenix,426,7.7,3,"1,260",8.3,8.2,8.3,8.2,7.9,7.9,8.3,7,450,2.9,7,2.0,False
"Holiday Inn and Suites Phoenix Airport North, an IHG ",Phoenix,502,8.5,3,477,8.6,8.8,8.6,8.8,8.5,8.7,8.6,8,1.8,4,7,2.0,False
"Holiday Inn Express Phoenix-Airport/University Drive, an IHG ",Phoenix,383,8.0,3,616,8.6,8.5,8.6,8.5,8.0,8.1,7.1,7,3.6,2.1,5,2.0,False
"Staybridge Suites - Phoenix – Biltmore Area, an IHG ",Phoenix,584,8.7,3,394,8.6,9.1,8.7,9.1,8.6,9.0,,4.2,3.9,6,7,3.0,True
"Home2 Suites By Hilton Phoenix Airport North, Az",Phoenix,370,9.0,3,499,9.0,9.2,9.3,9.1,8.9,9.1,8.3,7,1.1,3.4,8,2.0,True
La Quinta by Wyndham Phoenix Chandler,Phoenix,399,8.0,3,785,8.6,8.3,8.6,8.3,8.1,8.2,8.0,9,5,15,9,2.0,True
Hilton Garden Inn Phoenix Airport North,Phoenix,436,8.2,3,"1,034",8.6,8.7,8.7,8.7,8.1,8.4,8.4,6,450,2.3,7,2.0,True
Hampton Inn Phoenix Midtown Downtown Area,Phoenix,576,7.8,3,119,8.5,8.2,8.8,8.3,7.8,8.0,,3.6,2.6,8,9,2.0,True
La Quinta by Wyndham Phoenix I-10 West,Phoenix,430,7.8,3,528,7.2,8.3,8.5,8.3,7.8,8.0,7.1,9,6,15,4,1.0,True
Fairfield Inn & Suites by Marriott Phoenix West/Tolleson,Phoenix,420,8.8,3,647,8.9,9.1,9.1,9.2,8.6,9.1,8.8,15,11,12,6,1.0,False
Hampton Inn Phoenix Airport North,Phoenix,403,8.2,2,968,8.7,8.7,8.8,8.7,8.3,8.5,7.6,8,750,3.3,7,1.0,False
Aloft Phoenix Airport,Phoenix,454,8.1,3,326,8.3,8.5,8.7,8.6,8.1,8.3,8.2,7,200,2.8,7,1.0,True
Baymont by Wyndham Phoenix I-10 near 51st Ave,Phoenix,289,7.3,2,"1,337",7.1,7.7,8.1,7.7,7.4,7.5,7.6,9,6,15,7,2.0,False
AC  by Marriott Phoenix Downtown,Phoenix,804,8.8,0,395,9.4,9.2,9.1,9.3,8.8,9.1,9.2,1.7,550,6,5,2.0,False
Hyatt Place Phoenix/Downtown,Phoenix,615,8.7,0,561,9.1,9.1,8.9,9.2,8.3,9.0,8.7,1.9,200,6,4,2.0,True
La Quinta Inn by Wyndham Phoenix North,Phoenix,258,5.8,3,304,6.8,6.2,7.1,6.3,6.3,6.0,7.5,14,8,19,9,2.0,True
Hilton Phoenix Airport,Phoenix,441,8.5,3,871,8.8,8.9,9.0,8.9,8.4,8.8,,4.7,2.5,3.2,6,1.0,False
Embassy Suites by Hilton Phoenix Downtown North,Phoenix,584,8.6,3,260,8.8,8.9,9.0,9.0,8.3,8.9,,3.3,2.4,8,5,1.0,True
"Kimpton  Palomar Phoenix Cityscape, an IHG Hotel",Phoenix,"1,028",8.6,4,355,9.3,9.2,9.3,9.0,8.3,8.9,,2.1,200,6,4,4.0,
GreenTree Inn & Suites Phoenix Sky Harbor,Phoenix,385,7.0,3,"1,329",7.5,7.5,8.0,7.5,7.3,7.2,6.7,5,4.4,4.2,5,2.0,False
Sheraton Phoenix Crescent,Phoenix,429,7.7,3,904,8.0,8.2,8.7,8.2,7.8,8.0,8.0,10,2.4,18,7,1.0,True
Sonesta Select Phoenix Camelback,Phoenix,523,8.5,3,239,9.1,9.0,9.0,9.0,8.4,8.7,8.6,6,7,9,9,1.0,True
Clarendon  209,Phoenix,393,5.6,0,8,5.9,6.3,7.8,6.6,5.9,5.9,,2.7,3.6,9,3,,False
"Country Inn & Suites by Radisson, Phoenix Airport, AZ",Phoenix,368,7.3,3,573,8.3,7.9,8.3,7.9,7.5,7.5,8.3,4.6,2.8,3.2,5,2.0,True
Hampton Inn Phoenix - Biltmore,Phoenix,525,8.6,4,285,9.1,9.0,9.1,9.0,8.3,8.8,9.3,6,7,8,7,2.0,True
Cambria  Downtown Phoenix,Phoenix,727,8.4,0,714,8.9,9.0,8.7,9.0,8.4,8.7,8.1,1.4,400,6,4,1.0,False
Comfort Inn West Phoenix at 27th Ave and I-I0,Phoenix,457,7.4,2,147,7.6,8.1,7.7,7.9,7.3,7.5,,4.2,2.2,11,4,1.0,False
The Westin Phoenix Downtown,Phoenix,"1,164",8.6,4,369,9.1,9.1,8.9,9.1,8.2,8.9,,1.8,300,6,7,3.0,True
SpringHill Suites Phoenix Downtown,Phoenix,615,8.5,3,407,9.0,8.9,9.1,8.9,8.5,8.6,,2.1,650,5,7,1.0,False
Cambria  Phoenix- North Scottsdale,Phoenix,532,8.4,4,332,9.0,8.8,8.8,8.7,8.4,8.7,9.1,17,16,9,6,2.0,True
Courtyard by Marriott Phoenix West/Avondale,Phoenix,460,8.4,3,339,8.6,8.8,9.0,8.7,8.1,8.6,9.0,16,9,11,9,2.0,True
Hilton Garden Inn Phoenix North Happy Valley,Phoenix,508,7.8,3,237,8.5,8.4,8.6,8.4,8.0,8.3,,12,4.8,20,6,2.0,True
Fairfield Inn & Suites Phoenix Midtown,Phoenix,893,8.7,3,176,9.0,9.1,9.3,9.2,8.4,8.8,8.4,2.8,1.9,8,7,1.0,False
Embassy Suites by Hilton Phoenix Scottsdale,Phoenix,783,8.6,3,404,9.2,9.1,9.0,9.1,8.4,8.8,8.2,11,12,8,7,1.0,False
Raintree at Worldmark Phoenix South Mountain Preserve,Phoenix,876,8.8,3,92,9.0,9.1,9.4,9.3,9.2,8.9,,8,7,7,2,1.0,False
Courtyard by Marriott Phoenix Airport,Phoenix,553,7.8,3,171,8.5,8.3,8.8,8.4,7.7,8.0,7.8,4.5,2.8,3.2,7,1.0,False
Hilton Garden Inn Phoenix Downtown,Phoenix,873,8.5,4,865,8.9,9.0,8.7,9.0,8.3,8.7,8.3,2,150,6,7,1.0,True
Home2 Suites By Hilton Phoenix Airport South,Phoenix,541,8.5,3,279,8.9,8.8,8.7,9.0,8.5,8.8,8.8,5,4.6,4.3,6,1.0,True
Four Points by Sheraton Phoenix South Mountain,Phoenix,337,7.3,4,757,8.1,7.7,8.2,7.8,7.5,7.4,8.4,8,6,10,5,1.0,True
Drury Inn & Suites Phoenix Happy Valley,Phoenix,556,9.2,3,738,9.2,9.4,9.6,9.4,9.0,9.4,9.2,13,4,20,6,2.0,True
GreenTree  Phoenix West,Phoenix,443,7.5,3,413,7.3,8.1,8.1,8.2,7.6,7.9,7.9,9,6,15,6,2.0,False
Hampton Inn & Suites Phoenix North/Happy Valley,Phoenix,591,8.5,3,313,9.1,9.0,9.0,8.9,8.4,8.6,9.6,13,3.8,21,9,2.0,True
Homewood Suites by Hilton Phoenix Airport South,Phoenix,623,9.1,4,93,9.5,9.6,9.3,9.6,9.0,9.5,10,6,4.5,4.6,8,1.0,False
Clarendon  - 208,Phoenix,442,4.0,0,1,7.5,2.5,10,5.0,5.0,2.5,,2.7,3.6,9,3,,False
Embassy Suites Phoenix Airport at 24th Street,Phoenix,546,7.0,3,282,7.8,7.7,8.6,7.7,7.1,7.2,6.4,4.7,3.6,6,7,2.0,True
"Holiday Inn Express & Suites - Phoenix North - Happy Valley, an IHG ",Phoenix,461,9.0,0,335,9.2,9.4,9.2,9.4,8.9,9.4,8.5,13,4.4,21,7,1.0,False
Drury Inn & Suites Phoenix Airport,Phoenix,526,8.8,3,768,9.1,9.1,9.4,9.1,8.8,8.9,8.9,7,4,2.4,6,1.0,True
Best Western Downtown Phoenix,Phoenix,581,8.2,3,577,8.8,8.6,8.7,8.6,8.0,8.4,8.4,1.6,850,6,6,1.0,False
Sheraton Phoenix Downtown,Phoenix,"1,474",8.5,4,118,9.0,9.0,8.8,9.1,8.0,8.9,,1.7,450,6,7,2.0,True
Courtyard by Marriott Phoenix Downtown,Phoenix,584,8.6,3,193,8.9,9.3,9.1,9.2,8.6,8.8,8.7,2.1,200,6,5,2.0,False
Renaissance Phoenix Downtown ,Phoenix,931,8.4,5,345,9.2,8.8,8.8,8.9,8.1,8.6,8.3,2.1,100,6,7,4.0,True
Hilton Garden Inn Phoenix Midtown,Phoenix,599,7.4,3,359,8.3,7.9,8.1,7.9,7.3,7.7,7.5,2.8,3.7,9,7,1.0,True
Sonesta Simply Suites Phoenix Glendale,Phoenix,396,7.9,3,288,8.0,8.4,8.6,8.4,8.1,8.2,8.3,11,4.4,19,9,2.0,True
Courtyard Phoenix North / Happy Valley,Phoenix,677,8.8,3,241,8.9,9.2,9.2,9.0,8.4,9.0,8.0,12,4.9,20,9,2.0,False
Residence Inn by Marriott Phoenix Downtown,Phoenix,677,8.5,3,197,8.8,9.1,8.8,9.2,8.4,8.9,8.6,2.1,250,6,7,2.0,True
Courtyard by Marriott Phoenix North,Phoenix,553,8.4,3,366,8.3,8.8,8.8,8.8,8.4,8.6,8.4,10,2.9,18,7,1.0,False
Hyatt Place Phoenix-North,Phoenix,935,7.1,4,"1,065",7.6,7.6,8.1,7.6,7.4,7.5,7.9,11,4,19,5,2.0,True
