Name,City,Price,Rating,Stars,Reviews,Location,Cleanliness,staff,Comfort,Value for Money,Facilities,Wifi,Closest attraction dist,Closest transportation,Closest airport,payment methods,Number of languages,Allowing pets
" Indigo San Diego - Gaslamp Quarter, an IHG Hotel",San-Diego,"1,027",8.3,4,"1,910",9.1,8.8,8.9,8.8,8.0,8.5,7.5,1.8,1.4,4.1,7.0,5,True
Omni San Diego ,San-Diego,"1,002",8.7,4,"1,531",9.4,9.1,9.3,9.1,8.3,8.9,8.0,1.8,1.5,4.3,8.0,1,True
Best Western Plus Bayside Inn,San-Diego,790,8.4,3,"1,224",9.4,8.9,9.2,8.8,8.3,8.4,8.4,1.5,400,2.7,8.0,3,False
Hard Rock  San Diego,San-Diego,"1,027",8.2,4,"1,689",9.3,8.7,8.7,8.8,7.8,8.5,8.3,1.7,1.4,4.1,3.0,1,False
Manchester Grand Hyatt San Diego,San-Diego,"1,268",8.6,4,"2,660",9.5,8.9,9.0,8.9,8.0,8.8,8.4,2.3,700,3.3,7.0,2,True
Days Inn by Wyndham San Diego  Circle,San-Diego,371,7.4,3,"2,118",8.3,7.8,8.3,7.8,7.5,7.5,7.7,3.2,3.1,3.8,5.0,1,True
Gaslamp Plaza Suites,San-Diego,718,8.0,4,869,8.9,8.5,9.1,8.5,7.8,8.1,8.2,1.4,950,3.6,5.0,3,False
"Staypineapple,  Z, Gaslamp San Diego",San-Diego,638,9.1,3,873,9.5,9.5,9.6,9.5,8.8,9.2,9.3,1.7,1.2,3.9,6.0,2,True
Residence Inn by Marriott San Diego Downtown/Gaslamp Quarter,San-Diego,"1,027",8.1,3,384,9.3,8.6,8.7,8.7,7.8,8.3,,1.7,1.3,4,7.0,2,True
El Cordova,San-Diego,873,9.1,3,633,9.8,9.3,9.6,9.3,8.8,9.1,9.4,3.6,3.9,3.5,6.0,2,False
Handlery  San Diego,San-Diego,435,7.5,3,867,8.3,7.9,8.1,7.8,7.3,7.5,8.5,3.5,2.7,3.6,6.0,5,True
"InterContinental San Diego, an IHG ",San-Diego,"1,264",8.5,4,502,9.3,9.0,8.8,9.0,7.8,8.7,8.0,1.9,200,2.6,7.0,3,True
Hyatt Regency La Jolla at Aventine,San-Diego,958,8.3,4,996,9.0,8.8,8.9,8.8,7.9,8.6,8.4,6,600,16,7.0,3,True
"Holiday Inn Express  & Suites San Diego Airport - Old Town, an IHG Hotel",San-Diego,842,8.4,2,965,8.6,8.9,8.9,8.8,8.1,8.6,8.4,3.1,1.6,1.4,5.0,3,False
Bay Club  and Marina,San-Diego,615,8.5,3,899,9.4,8.8,9.1,8.8,8.2,8.6,8.7,4.6,5,2.4,4.0,2,False
Homewood Suites by Hilton San Diego Downtown/Bayside,San-Diego,"1,384",8.2,4,"1,128",8.9,8.6,8.5,8.7,7.9,8.4,7.4,1.7,1.1,2,8.0,2,True
San Diego Mission Bay Resort,San-Diego,"1,129",7.9,4,342,8.8,8.4,8.7,8.4,7.2,8.3,7.0,3.4,1.3,6,6.0,1,True
" Indigo San Diego Del Mar, an IHG Hotel",San-Diego,813,8.2,3,239,9.1,8.8,8.9,8.9,7.9,8.5,5.8,10,4.9,20,7.0,1,True
"The Guild , San Diego, a Tribute Portfolio Hotel",San-Diego,523,8.4,4,379,9.2,8.8,9.1,9.0,8.0,8.5,9.1,1.8,150,2.9,6.0,1,True
Ocean Park Inn,San-Diego,"1,130",8.9,3,"1,163",9.6,9.4,9.2,9.4,8.4,9.2,9.0,7,4.1,9,5.0,2,False
Wyndham San Diego Bayside,San-Diego,730,7.6,3,"1,530",9.3,8.1,8.1,8.2,7.3,7.7,7.8,1.9,450,2.3,6.0,3,True
Solamar San Diego,San-Diego,"1,048",8.1,4,802,9.3,8.6,8.9,8.6,7.7,8.3,,1.7,1.3,4,4.0,2,
Sands Of La Jolla,San-Diego,512,8.6,4,"1,186",9.1,9.0,8.8,9.0,8.7,8.7,8.4,9,5,11,7.0,1,False
"Holiday Inn Express - Downtown San Diego, an IHG ",San-Diego,878,7.7,3,"1,219",8.3,8.1,8.4,8.2,7.7,7.9,8.6,1.4,1.2,3.4,6.0,2,False
"Holiday Inn Express San Diego - Sea World Area, an IHG ",San-Diego,"1,027",8.3,2,"1,104",7.9,8.9,8.8,8.9,8.2,8.4,7.8,4.5,2,3.8,3.0,3,False
Best Western Plus Hacienda  Old Town,San-Diego,787,8.0,3,"1,313",9.3,8.2,8.8,8.3,7.7,8.0,7.8,3.1,550,2.3,7.0,2,False
San Diego Marriott Mission Valley,San-Diego,958,8.1,3,554,8.7,8.5,8.6,8.5,7.7,8.4,,4.5,6,7,7.0,1,False
Hyatt Regency Mission Bay Spa and Marina,San-Diego,863,8.0,4,"1,011",8.9,8.4,8.7,8.5,7.3,8.2,8.4,4.3,4,6,7.0,6,True
"Holiday Inn Express & Suites San Diego - Mission Valley, an IHG ",San-Diego,890,8.4,3,653,8.7,8.6,8.8,8.7,8.2,8.6,8.3,3.2,3.1,3.8,6.0,1,False
"Motel 6-San Diego, CA - Downtown",San-Diego,275,6.9,2,"1,310",8.1,7.2,8.3,7.2,7.2,6.8,7.1,1.2,800,3,4.0,1,True
The Dana on Mission Bay,San-Diego,769,7.9,3,"1,044",9.0,8.3,8.5,8.3,7.2,8.2,7.5,4,3.8,6,4.0,1,True
Comfort Inn Gaslamp Convention Center,San-Diego,461,7.2,3,"1,522",8.6,7.6,8.3,7.6,7.3,7.2,7.5,1.6,1.2,3.8,9.0,2,False
Ramada by Wyndham San Diego Airport,San-Diego,443,7.0,2,468,8.5,7.6,7.9,7.5,7.2,7.1,8.7,4.4,4.4,3.4,6.0,3,False
Pantai Inn,San-Diego,"1,405",8.2,5,408,9.7,8.7,9.0,8.6,7.8,8.2,8.5,8,4.7,15,6.0,2,False
Moxy San Diego Gaslamp Quarter,San-Diego,910,8.6,4,727,9.2,9.1,9.2,8.9,8.4,8.8,9.1,1.5,1.1,3.7,6.0,1,False
SpringHill Suites by Marriott San Diego Mission Valley,San-Diego,"1,027",8.6,3,354,8.9,9.1,9.0,9.0,8.3,9.0,8.8,4.3,6,7,9.0,1,True
Kings Inn,San-Diego,414,8.1,3,"2,193",8.6,8.5,8.9,8.5,8.3,8.2,8.4,3.4,2.3,3.2,4.0,2,False
TownePlace Suites by Marriott San Diego Downtown,San-Diego,993,8.2,3,542,8.4,8.8,8.6,8.8,8.1,8.5,8.9,1.4,1.1,3.3,7.0,2,True
Best Western Cabrillo Garden Inn,San-Diego,"1,061",8.0,3,353,8.6,8.4,8.8,8.3,7.6,7.9,7.8,1.5,1.3,3.6,7.0,2,False
Surfer Beach ,San-Diego,822,7.3,3,512,9.5,7.3,8.9,7.6,7.0,6.9,7.8,7,4.2,9,5.0,4,True
