Name,City,Price,Rating,Stars,Reviews,Location,Cleanliness,staff,Comfort,Value for Money,Facilities,Wifi,Closest attraction dist,Closest transportation,Closest airport,payment methods,Number of languages,Allowing pets
 Washington,Washington,"1,027",8.6,4,"1,153",9.7,9.0,8.9,9.1,8.1,8.8,8.6,650,450,5,9.0,5,True
citizenM Washington DC Capitol,Washington,890,8.6,4,"2,391",9.1,9.1,9.0,9.0,8.5,8.9,9.1,750,250,4.2,6.0,1,False
Riggs Washington DC,Washington,"1,388",9.1,5,759,9.7,9.5,9.5,9.5,8.7,9.2,9.3,800,250,5,4.0,7,True
"Holiday Inn Washington-Central/White House, an IHG ",Washington,799,7.7,3,"1,612",8.6,8.1,8.2,8.1,7.7,7.8,7.7,1.2,700,7,7.0,4,False
State Plaza ,Washington,890,8.6,4,"2,301",9.2,9.1,9.0,9.2,8.5,8.7,8.8,800,600,5,5.0,1,False
"Holiday Inn Washington Capitol-National Mall, an IHG ",Washington,910,7.8,3,"2,907",9.1,8.3,8.4,8.4,7.9,8.0,8.4,700,150,4.4,7.0,4,True
Washington Plaza ,Washington,"1,321",8.1,4,"3,021",9.1,8.6,8.8,8.6,8.0,8.2,8.4,1.1,600,6,5.0,18,False
Sofitel Lafayette Square Washington DC,Washington,"1,428",8.1,5,437,9.4,8.6,8.6,8.6,7.7,8.2,,700,100,6,6.0,3,True
The Churchill  Near Embassy Row,Washington,665,8.4,4,791,9.0,8.9,8.8,9.0,8.4,8.5,8.5,1.7,800,7,9.0,9,False
Eaton DC,Washington,"1,027",8.6,4,661,9.3,9.1,9.0,9.2,8.3,8.8,8.8,750,500,6,6.0,3,True
Phoenix Park ,Washington,781,8.7,3,"1,110",9.4,9.0,9.2,9.0,8.5,8.7,8.3,950,200,6,9.0,6,False
Conrad Washington DC,Washington,"1,611",9.1,5,245,9.6,9.6,9.6,9.5,8.7,9.3,8.3,1.2,400,6,7.0,1,True
"JW Marriott Washington, DC",Washington,"1,542",8.2,5,636,9.5,8.8,8.5,8.8,7.8,8.4,7.5,500,400,5,7.0,1,False
 Hive,Washington,669,8.7,3,"1,435",9.4,9.1,9.5,9.0,8.6,8.7,8.8,650,400,5,6.0,1,True
"ARC HOTEL Washington DC, Georgetown",Washington,890,8.0,4,"1,089",8.9,8.4,8.5,8.5,8.1,7.9,8.6,1.1,250,6,6.0,3,True
Glover Park  Georgetown,Washington,924,8.2,4,691,9.0,8.6,8.7,8.6,8.0,8.3,8.5,1.7,1.8,9,4.0,1,True
The St Gregory  Dupont Circle Georgetown,Washington,"1,165",8.3,4,"1,051",9.2,8.8,8.9,8.8,8.1,8.4,8.6,1.7,500,6,3.0,1,True
"Willard InterContinental Washington, an IHG ",Washington,"1,714",9.1,4,306,9.8,9.5,9.4,9.5,8.6,9.2,,650,450,5,6.0,1,True
"The Darcy , Washington DC",Washington,"1,027",8.3,4,699,9.0,8.9,8.8,8.8,7.9,8.6,8.1,1.1,650,7,6.0,4,True
Hyatt Place Washington DC/Georgetown/West End,Washington,"1,203",7.8,3,"1,863",8.9,8.4,8.1,8.5,7.9,8.1,8.0,800,500,6,6.0,2,True
Hyatt House Washington DC/The Wharf,Washington,"1,014",8.4,3,"2,278",9.5,8.8,8.7,8.8,8.2,8.7,9.0,950,600,3.6,7.0,1,True
The Eldon Luxury Suites,Washington,893,8.1,3,473,9.1,8.6,8.7,8.6,8.5,8.2,7.2,750,350,6,4.0,4,False
Washington Marriott at Metro Center,Washington,"1,302",8.2,4,377,9.4,8.8,8.9,8.9,7.9,8.3,6.5,900,100,6,7.0,4,False
Washington Hilton,Washington,949,7.5,4,417,8.5,8.1,8.3,8.1,7.3,7.8,7.7,1.8,750,7,7.0,11,True
Morrison Clark Inn Washington DC Convention Center,Washington,"1,027",8.8,4,486,9.3,9.3,9.2,9.4,8.6,8.8,8.6,850,450,6,4.0,4,False
Henley Park ,Washington,"1,041",8.5,4,"1,068",9.4,9.1,9.1,9.1,8.5,8.5,8.1,700,400,6,4.0,4,False
Lyle DC,Washington,801,8.9,4,"1,496",9.3,9.4,9.2,9.4,8.7,9.0,8.7,2,550,7,4.0,1,True
Omni Shoreham ,Washington,"1,344",8.3,4,745,9.0,8.8,8.8,8.8,8.0,8.5,,1.5,300,8,8.0,3,True
"Club Quarters  White House, Washington DC",Washington,839,7.9,4,"3,852",9.4,8.3,8.6,8.4,7.9,7.8,8.5,1.2,10,6,4.0,1,True
Hyatt Place Washington D.C./National Mall,Washington,940,7.8,3,"1,195",8.8,8.4,8.1,8.5,7.9,8.1,8.1,900,350,4.2,6.0,2,True
Homewood Suites by Hilton Washington DC NoMa Union Station,Washington,820,7.8,3,468,8.0,8.3,8.5,8.4,7.8,8.1,7.5,1.8,700,8,8.0,2,True
Grand Hyatt Washington,Washington,"1,135",8.5,4,906,9.4,8.7,9.0,8.8,8.1,8.6,8.3,"1,000",200,6,7.0,3,False
"InterContinental - Washington D.C. - The Wharf, an IHG ",Washington,"1,371",8.9,5,813,9.5,9.4,9.1,9.4,8.5,9.2,8.7,1.1,650,3.5,7.0,10,True
Capitol Hill ,Washington,958,8.1,4,854,9.3,8.4,9.0,8.5,8.0,8.1,8.3,1.2,250,5,4.0,2,True
The Royal Sonesta Washington DC Dupont Circle,Washington,890,7.6,4,452,9.0,8.2,8.4,8.4,7.4,7.8,8.2,2.1,350,7,9.0,2,True
